model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage,reference_rmse,reference_qlike,reference_mz_alpha,reference_mz_beta,reference_mz_r2,reference_model,delta_rmse,delta_qlike,delta_mz_r2
esn_shuffled_tuned,Transition,path,307,3070,0.5599847715023798,1.3686670077776946,-0.3455805871014155,0.8804098283363705,0.1421940974026329,selection,0.5643697287326642,1.4094139129726038,-0.8973976482488576,0.7627111414341536,0.14119110700389415,sequence_ridge,-0.004384957230284425,-0.0407469051949092,0.0010029903987387456
persistence,L1,path,104,1040,0.7696164216718094,3.2218044518194504,-1.7515971904127776,0.5153547073906034,0.14435885183874142,selection,0.6877179057525923,2.439148282377058,-0.6731389027640946,0.7529958381769453,0.13647787448519488,sequence_ridge,0.08189851591921715,0.7826561694423924,0.007880977353546537
har,L1,path,104,1040,0.6979884207763889,2.528814629855489,-0.3384991898286997,0.8198048069039139,0.16515940615192748,selection,0.6877179057525923,2.439148282377058,-0.6731389027640946,0.7529958381769453,0.13647787448519488,sequence_ridge,0.010270515023796611,0.08966634747843116,0.028681531666732596
garch_1_1_t,L1,path,104,1040,0.516339426848287,1.017845111316127,-1.7528157785227483,0.5662005202326471,0.14390711001833634,selection,0.6877179057525923,2.439148282377058,-0.6731389027640946,0.7529958381769453,0.13647787448519488,sequence_ridge,-0.17137847890430524,-1.421303171060931,0.007429235533141454
esn_direct_tuned,L1,path,104,1040,0.6853160827558831,2.3863755390788435,0.05023704417207486,0.9047148920471271,0.1643164452216045,selection,0.6877179057525923,2.439148282377058,-0.6731389027640946,0.7529958381769453,0.13647787448519488,sequence_ridge,-0.002401822996709213,-0.052772743298214575,0.027838570736409607
esn_shuffled_tuned,L1,path,104,1040,0.6800214839507503,2.3570964020224876,-0.23457411022997882,0.8471345774376219,0.1394370079397148,selection,0.6877179057525923,2.439148282377058,-0.6731389027640946,0.7529958381769453,0.13647787448519488,sequence_ridge,-0.007696421801841935,-0.08205188035457045,0.0029591334545199244
persistence,L5,path,103,1030,0.7093849433614475,3.1972656686425394,-2.918237569891322,0.3233231698537911,0.0655791911257092,selection,0.5445884523574119,1.3606556984169915,-0.5719610200306409,0.8323017651850342,0.17075213305767578,sequence_ridge,0.1647964910040356,1.8366099702255478,-0.10517294193196658
har,L5,path,103,1030,0.5515250305154387,1.428465700203764,-0.4481791860765042,0.854184778692815,0.18103630813638116,selection,0.5445884523574119,1.3606556984169915,-0.5719610200306409,0.8323017651850342,0.17075213305767578,sequence_ridge,0.006936578158026729,0.06781000178677243,0.010284175078705382
garch_1_1_t,L5,path,103,1030,0.5519351499822269,0.7564999671996959,-2.0942878741229944,0.5509613415962271,0.1329733495544091,selection,0.5445884523574119,1.3606556984169915,-0.5719610200306409,0.8323017651850342,0.17075213305767578,sequence_ridge,0.007346697624814991,-0.6041557312172956,-0.03777878350326669
esn_direct_tuned,L5,path,103,1030,0.543593619472673,1.3545911143761244,0.08198998311745848,0.9689294912900868,0.18409090664933414,selection,0.5445884523574119,1.3606556984169915,-0.5719610200306409,0.8323017651850342,0.17075213305767578,sequence_ridge,-0.0009948328847388943,-0.0060645840408670715,0.01333877359165836
esn_shuffled_tuned,L5,path,103,1030,0.5420583282274802,1.3269974555084332,0.09267547511798378,0.9734536373019909,0.17321553451459126,selection,0.5445884523574119,1.3606556984169915,-0.5719610200306409,0.8323017651850342,0.17075213305767578,sequence_ridge,-0.002530124129931699,-0.033658242908558345,0.0024634014569154816
persistence,L10,path,100,1000,0.6174114527877467,1.280670417168882,-3.625622268663322,0.23725238279317465,0.06953298363108018,selection,0.4248381585454802,0.38871112978425176,-0.9757892186571308,0.8053786335142531,0.25042246760096054,sequence_ridge,0.1925732942422665,0.8919592873846303,-0.18088948396988036
har,L10,path,100,1000,0.43160602684904387,0.41751165518989397,-1.2778699515678722,0.7399991857358028,0.23661578018497953,selection,0.4248381585454802,0.38871112978425176,-0.9757892186571308,0.8053786335142531,0.25042246760096054,sequence_ridge,0.006767868303563684,0.028800525405642208,-0.013806687415981012
garch_1_1_t,L10,path,100,1000,0.6327473909150663,0.5076642781133249,-2.298888542592536,0.5687673621122318,0.21092746304213705,selection,0.4248381585454802,0.38871112978425176,-0.9757892186571308,0.8053786335142531,0.25042246760096054,sequence_ridge,0.20790923236958608,0.11895314832907317,-0.03949500455882349
esn_direct_tuned,L10,path,100,1000,0.4244324869436522,0.3941367651517457,-0.6369960117372331,0.8773365232874586,0.2413768832672134,selection,0.4248381585454802,0.38871112978425176,-0.9757892186571308,0.8053786335142531,0.25042246760096054,sequence_ridge,-0.0004056716018279727,0.005425635367493964,-0.009045584333747136
esn_shuffled_tuned,L10,path,100,1000,0.42323894377642063,0.383620076600449,-0.3958854314051797,0.9291078612165744,0.24358606148415274,selection,0.4248381585454802,0.38871112978425176,-0.9757892186571308,0.8053786335142531,0.25042246760096054,sequence_ridge,-0.0015992147690595537,-0.005091053183802763,-0.006836406116807803
persistence,Controls,path,903,9030,0.5392782831947762,0.9623340561406531,-1.9776740263982178,0.5803301121751183,0.22491253463988659,selection,0.4538556508948283,0.5815626122519086,1.1190891764567261,1.2505172754078984,0.391755004011093,sequence_ridge,0.0854226322999479,0.3807714438887445,-0.1668424693712064
