model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
garch_1_1_t,L10,path,48,480,0.6874687408288223,0.5711398394116343,-2.7898611736434917,0.4551285375606129,0.1278859877204246,6
garch_1_1_t,Controls,path,434,4340,0.6417686980035792,0.5903014025327699,-1.4645565827568234,0.7497656570545262,0.19000033890043488,6
garch_1_1_t,Pooled,path,584,5840,0.6258579458678754,0.6053154005375161,-1.865880185605406,0.6423551597048445,0.14523122711587766,6
har,Transition,path,150,1500,0.5472237594069731,1.202267772145431,-1.6901293484646462,0.5950740061731863,0.09007591127751857,6
har,L1,path,51,510,0.6487237433445672,2.0186182245902806,0.07508498248418916,0.91628180836916,0.17366629154329338,6
har,L5,path,51,510,0.5129636504726274,1.1069648390698343,-0.8477693102027776,0.7761919243634317,0.15007063178341207,6
har,L10,path,48,480,0.4572424624123658,0.4361547828155992,-2.1846302502479804,0.5477550537043571,0.13467144563385236,6
har,Controls,path,434,4340,0.45454981360951857,0.6252154593715646,0.24610888132987155,1.05418483361726,0.2672827529888012,6
har,Pooled,path,584,5840,0.4800635263571959,0.7734309506662219,-0.39482717283556157,0.9039970464248015,0.1985941097896341,6
persistence,Transition,path,150,1500,0.6903436517534708,2.2146205325686528,-3.2163137330735276,0.2591021896240069,0.04921521290419906,6
persistence,L1,path,51,510,0.7394412636635688,2.645652115147986,-1.5958865123947938,0.5485533897109041,0.12785853594099894,6
persistence,L5,path,51,510,0.6584379663796189,2.2903159324089195,-2.7651715658453173,0.3532614496187626,0.09262511539984553,6
persistence,L10,path,48,480,0.6691123284892694,1.6762231137478285,-4.128546281920893,0.1201264388602327,0.022119576399210583,6
persistence,Controls,path,434,4340,0.5502586651396155,1.037749961665784,-2.426675699235622,0.4636909056956907,0.1624512794184847,6
persistence,Pooled,path,584,5840,0.5894254652750964,1.3400283617264523,-2.698768133352645,0.39548412535174055,0.11702224768732972,6
sequence_ridge,Transition,path,150,1500,0.5287444025342884,1.0898027248789657,-1.4486535634633815,0.652106672006302,0.10599101701373703,6
sequence_ridge,L1,path,51,510,0.6198497881121559,1.8146107171319328,-0.35219114800286266,0.8340264502139543,0.14473588803356008,6
sequence_ridge,L5,path,51,510,0.5028303822414675,1.0235172271127952,-1.092281661326809,0.7306854269304338,0.13680792587842028,6
sequence_ridge,L10,path,48,480,0.4436105807317621,0.39012257448674414,-1.8048068717156667,0.6319406562988098,0.1724047413382107,6
sequence_ridge,Controls,path,434,4340,0.4526404718998447,0.6076713772673871,0.3499903667169667,1.081675363958175,0.2761547228851219,6
sequence_ridge,Pooled,path,584,5840,0.473356910677745,0.7315064836744706,-0.21418200318651565,0.9482936876478496,0.21352962298720612,6
esn_direct_tuned,Transition,path,123,1230,0.6359486318055495,2.0934950673061676,-0.2575481960179101,0.8863435845373092,0.11016816769503124,7
esn_direct_tuned,L1,path,41,410,0.808940197298925,3.8341532395398468,-0.8540168861965037,0.7001196861440586,0.07591977541785755,7
esn_direct_tuned,L5,path,41,410,0.6212322838494607,1.9953516127599575,-0.14275713020852102,0.9078922578210497,0.1264461386483976,7
esn_direct_tuned,L10,path,41,410,0.4159064721583574,0.45098034961869743,0.32433833938267026,1.0717588684707258,0.2557785392210852,7
esn_direct_tuned,Controls,path,369,3690,0.47378679787515265,0.4381825565368259,0.6273529469981421,1.1519945994438372,0.22842884642993688,7
esn_direct_tuned,Pooled,path,492,4920,0.5190983653937187,0.8520106842291613,0.4523517305164101,1.095114956144463,0.175003040000264,7
esn_shuffled_tuned,Transition,path,123,1230,0.6339831632845958,2.083414565475814,-0.2839439710978741,0.8832748183710224,0.0958566862705984,7
esn_shuffled_tuned,L1,path,41,410,0.8044617800495454,3.834586503787653,-1.2192005830551795,0.6270262040751372,0.05221015730832557,7
esn_shuffled_tuned,L5,path,41,410,0.6170962881825627,1.9581989203608243,0.02134660519035691,0.9439604455625275,0.11770022187473439,7
esn_shuffled_tuned,L10,path,41,410,0.42170768256678465,0.4574582722789661,0.38275131776520743,1.0866062599966428,0.23872331546316894,7
