model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
garch_1_1_t,L10,8,71,71,0.6776292355393917,0.5341815568440387,-1.8777795902987857,0.6999261868482051,0.2501884953460749,confirmation
garch_1_1_t,L10,9,71,71,0.6309003807259083,0.47777209736243154,-2.927490382808396,0.45936099075340436,0.17393541845521443,confirmation
garch_1_1_t,L10,10,71,71,0.4740564622816984,0.9313809189103233,-1.4904452071047731,0.6092115471229904,0.22768724600473822,confirmation
garch_1_1_t,Controls,1,639,639,0.6599222958408395,0.544261860650101,-1.4869680188977301,0.7774369243378945,0.24062523403186997,confirmation
garch_1_1_t,Controls,2,639,639,0.6719679681982359,0.6012162511050191,-1.8931147925864793,0.6884059718063029,0.18938504909023635,confirmation
garch_1_1_t,Controls,3,639,639,0.6650663322384905,0.588688452885504,-1.5893179707680472,0.7529889423461088,0.21469221335085886,confirmation
garch_1_1_t,Controls,4,639,639,0.683503577196078,0.5650261770761635,-1.460483550849001,0.7884033293146202,0.23294965229799247,confirmation
garch_1_1_t,Controls,5,639,639,0.6825592829710323,0.595280144018127,-1.518843459906445,0.7731450314270222,0.21767929273387687,confirmation
garch_1_1_t,Controls,6,639,639,0.6900465273450156,0.5956665527183522,-1.8859974738311704,0.6920135422079726,0.1763769628725833,confirmation
garch_1_1_t,Controls,7,639,639,0.7184209061674529,0.6909502332970074,-2.067120774999402,0.6545364161630959,0.1457214665982851,confirmation
garch_1_1_t,Controls,8,639,639,0.7485632199203408,0.6611104272699373,-1.8513556453890878,0.7130078042089518,0.16980616877298849,confirmation
garch_1_1_t,Controls,9,639,639,0.7383925142158644,0.6657548096714972,-1.887556487217796,0.7017924166922244,0.16456870204326424,confirmation
garch_1_1_t,Controls,10,639,639,0.7340187690370219,0.6366531863770977,-1.4475529804918998,0.8001948875566425,0.20818132195847916,confirmation
garch_1_1_t,Pooled,1,852,852,0.6464284100075467,0.5852272209701099,-1.6929054042711893,0.7176352558758653,0.19089882756379317,confirmation
garch_1_1_t,Pooled,2,852,852,0.6618860287795876,0.6316074555305982,-1.796336413489466,0.7001413846150026,0.18226829280623935,confirmation
garch_1_1_t,Pooled,3,852,852,0.648686481580666,0.632566586197903,-1.5015864899663023,0.7613154326027305,0.20695632297144473,confirmation
garch_1_1_t,Pooled,4,852,852,0.6735606054642399,0.6511810630230654,-1.4951487869740905,0.7675508892366663,0.19858171646735534,confirmation
garch_1_1_t,Pooled,5,852,852,0.6560250716402083,0.6795544630542247,-1.379715136050109,0.7749382569770245,0.17669292443651352,confirmation
garch_1_1_t,Pooled,6,852,852,0.6731003106670643,0.7051373430306808,-1.8344197173179313,0.6792702229757481,0.13950348032761617,confirmation
garch_1_1_t,Pooled,7,852,852,0.6901681100995759,0.8142112754626548,-1.9184241148023458,0.6626047096435034,0.12685940492548342,confirmation
garch_1_1_t,Pooled,8,852,852,0.7219353915862333,0.8346538277628289,-1.630884231479597,0.7320685088881547,0.13922941924830612,confirmation
garch_1_1_t,Pooled,9,852,852,0.7125624445249162,0.7845605738371203,-1.9911514306254996,0.6496522436187228,0.11457810697140047,confirmation
garch_1_1_t,Pooled,10,852,852,0.695716403565295,0.8223649578673233,-1.2881852773349585,0.7907035402099001,0.14742797711940814,confirmation
esn_direct_tuned,Transition,1,213,213,0.565920438967702,1.4033617727356331,-1.001872944551898,0.7595282351805298,0.1087048008598781,confirmation
esn_direct_tuned,Transition,2,213,213,0.550592667304879,1.3581270883072423,-0.06757203902477125,0.9658815595738776,0.15731479657945402,confirmation
esn_direct_tuned,Transition,3,213,213,0.5464175354637247,1.5434481071554695,0.10779829734232498,0.9916131700374016,0.18055557467484207,confirmation
esn_direct_tuned,Transition,4,213,213,0.5864169438799112,1.7379459712449346,0.24258907618776734,1.0188992834963417,0.15186129127658132,confirmation
esn_direct_tuned,Transition,5,213,213,0.6771437853690395,2.191290029140527,0.057982326711271036,0.9344046730272765,0.12137653181699193,confirmation
esn_direct_tuned,Transition,6,213,213,0.6800338203093739,2.3736252099541058,-0.882649336238729,0.7548866894323261,0.08069939403855164,confirmation
esn_direct_tuned,Transition,7,213,213,0.6576582713272109,2.3768253910932917,-0.4081274523169441,0.8531303389383148,0.09852809321558109,confirmation
