episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
34,5698,5698,5723,2008-07-08,2008-07-08,2008-08-12,18,26,0.22010530352711333,0.16028003774132102,-0.14678608450730724,1.030904314436691,-0.08725074070950362,-0.007219520682117064,-0.043243392344427534
35,5771,5771,5786,2008-10-20,2008-10-20,2008-11-10,12,16,0.7547311738876924,0.16158973702926777,-0.3283656055290606,1.2839014268450748,-0.058110681602555725,0.006035451018311377,-0.23631662900129058
36,5792,5792,5824,2008-11-18,2008-11-18,2009-01-05,17,33,0.5296021441193576,0.16207266253634425,-0.3052561203096884,0.5558406086099802,-0.22633354891079455,-0.009021685649793554,-0.10583099747439029
37,5839,5839,5852,2009-01-26,2009-01-26,2009-02-12,9,14,0.3007444864383729,0.16306855179482738,-0.2532728004953331,0.9875981580865151,-0.044926430595898126,0.02417676921942835,-0.08914747410254087
38,5871,5871,5902,2009-03-11,2009-03-11,2009-04-23,24,32,0.3793211188354686,0.16375827588871925,-0.2892446055624185,1.2066102780732584,-0.13691110810523355,0.013063425587258592,-0.10372057979895644
39,5959,5959,5959,2009-07-13,2009-07-13,2009-07-13,1,1,0.20445712537833158,0.16538345682817915,-0.0674760718034525,0.894270408570276,-0.08840323461431962,0.0017196540159982732,-0.047286587352617815
40,6180,6180,6204,2010-05-18,2010-05-18,2010-06-21,11,25,0.29415445449312905,0.16562454022121811,-0.08887023369916958,0.9572860648043933,-0.20087549987779674,-0.00505002694249157,-0.08064643600692634
41,6217,6217,6232,2010-07-08,2010-07-08,2010-07-29,15,16,0.22076570576947446,0.1662314884804542,-0.12352940166626325,0.8645609106368154,-0.05342466117629108,0.060495478954566195,-0.06551962985377635
42,6506,6506,6529,2011-08-17,2011-08-17,2011-09-19,13,24,0.30473284264791445,0.16582140616278282,-0.12350728602241035,0.86657144866,-0.09919025050610047,0.06278249264784463,-0.1303058546747753
43,6537,6537,6556,2011-09-29,2011-09-29,2011-10-26,15,20,0.3546821497686816,0.16631791796366377,-0.14566126571623972,0.9070105812258589,-0.08848316671070505,0.030325273043672496,-0.05782034703451622
44,6584,6584,6596,2011-12-05,2011-12-05,2011-12-21,6,13,0.23275199144940587,0.16709022192722764,-0.08036765738163865,0.8972692554279915,-0.03906348411997379,0.04691726486884207,-0.06937647191229424
45,6711,6711,6722,2012-05-30,2012-05-30,2012-06-14,8,12,0.19456070210789664,0.1672363011590353,-0.11202598909075068,0.9932284248870089,-0.0868276104857903,0.005844565274792046,-0.05680693889685173
46,6982,6982,6996,2013-06-13,2013-06-13,2013-07-03,8,15,0.17336360501534218,0.16596518871755428,-0.07830685046058128,0.7548432124625563,-0.02217635223929218,-0.0049807313620569005,-0.04940241496674602
47,7336,7336,7345,2014-10-22,2014-10-22,2014-11-04,8,10,0.1823695599343695,0.16421902268200847,-0.06960248542921488,0.9791520208420857,-0.04080482797433391,0.02983085071885938,-0.042641178386455536
48,7560,7560,7574,2015-09-01,2015-09-01,2015-09-21,13,15,0.3033263203132098,0.16420720618875967,-0.14716257647121744,1.3177055614798059,-0.06527099876904657,-0.0037562194696239004,-0.10475004298041135
49,7640,7640,7657,2015-12-22,2015-12-22,2016-01-14,10,18,0.1823953354053131,0.16459848033327779,-0.10495920664464531,0.6373038148969856,-0.16255073203882836,0.010794352175452104,-0.057789615850648346
50,7666,7666,7687,2016-01-27,2016-01-27,2016-02-25,10,22,0.23709417596902063,0.1651541189857672,-0.0879919248880614,0.6770958543937675,-0.14428657796146255,0.05433286804288606,-0.054293302379528896
51,8198,8198,8208,2018-02-14,2018-02-14,2018-02-28,11,11,0.16523932253142593,0.16288136816706883,-0.07259238118745692,1.0887475071789887,-0.08741122425429948,-0.009031764812911902,-0.060656580766648815
52,8414,8414,8430,2018-12-13,2018-12-13,2019-01-04,5,17,0.18344239763981934,0.16176176052872124,-0.11562176515594758,0.7914341433281,-0.1052045838817908,0.025543392430732226,-0.049469058081475836
53,8586,8586,8597,2019-08-14,2019-08-14,2019-08-30,8,12,0.16749072645770893,0.16121597427760667,-0.07008681330261324,0.9290463417008176,-0.05519032414265371,-0.0070846449207770945,-0.06414200529412284
54,8742,8742,8766,2020-03-24,2020-03-24,2020-04-29,17,25,0.6812172203436424,0.16097778520064251,-0.29038146812325394,1.2111832531606241,-0.10297477622055262,0.028139137326178343,-0.24707717929744888
55,8772,8772,8787,2020-05-07,2020-05-07,2020-06-01,9,16,0.32759887177170394,0.1613293704959096,-0.2265380686319477,0.7752090587563686,-0.15850447667598716,0.0058747219567312214,-0.04370146155705612
56,8800,8800,8814,2020-06-18,2020-06-18,2020-07-08,10,15,0.2720991425102767,0.16160328236575788,-0.18899976024684162,0.8320521462735027,-0.15012369774315623,0.023962248128540864,-0.06509126049537706
57,8860,8860,8883,2020-09-11,2020-09-11,2020-10-14,18,24,0.1888463970060901,0.16258637851216579,-0.06973921626081458,0.904496782639592,-0.022170353051035957,0.03939426673762192,-0.040564508776006036
58,8898,8898,8900,2020-11-04,2020-11-04,2020-11-06,3,3,0.2045036065095861,0.1631245447979099,-0.09269157811945772,0.8203969094784935,-0.064892557623459,0.05242058739192501,-0.04949797465650896
59,9241,9241,9243,2022-03-11,2022-03-11,2022-03-15,3,3,0.3047277403013961,0.16270371190033842,-0.06735310984828724,0.8853721628803355,-0.03383728647291767,0.0238295403651545,-0.06942538222036987
60,9310,9310,9326,2022-06-23,2022-06-23,2022-07-15,6,17,0.18558985296998481,0.16330999833689552,-0.08497341118815493,0.8848838179297279,-0.10576806643445333,-0.0034879879064408925,-0.0594106726326622
61,9500,9500,9503,2023-03-23,2023-03-23,2023-03-28,4,4,0.2114598076327864,0.1629951505739312,-0.06422386955333648,0.8961446087313679,-0.16109989588671028,0.01201519790386385,-0.07669802137269954
62,10021,10021,10025,2025-04-14,2025-04-14,2025-04-22,5,5,0.3216473436995196,0.16028055145403045,-0.0830734130584998,1.2045735169628646,-0.012110001340608523,0.0546041842126499,-0.11419592741263074
63,10263,10263,10265,2026-03-26,2026-03-26,2026-03-30,3,3,0.19155803503644167,0.15945836775730177,-0.08600666327545348,1.0407200647292234,-0.00432082295397565,-0.009116803439260579,-0.05906799547400432
