run_name,virtual_nodes,ridge_alpha,split,n,rmse,qlike,corr,actual_std,pred_std,pred_mean,effective_rank,q80_f1,q80_precision,q80_recall,q80_pred_rate,q80_actual_rate,q90_f1,q90_precision,q90_recall,q90_pred_rate,q90_actual_rate,q95_f1,q95_precision,q95_recall,q95_pred_rate,q95_actual_rate,top20_pred_actual_ratio
rf_qrc_ring_tm_vn3_alpha1000,3,1000.0,test,1136,0.12591549542493888,0.762270499024077,0.5723964333334728,0.12273565132235827,0.07809043267134379,0.10310856841760589,14.860769057451195,0.4342857142857143,0.8941176470588236,0.28679245283018867,0.07482394366197183,0.23327464788732394,0.39361702127659576,0.6379310344827587,0.2846153846153846,0.051056338028169015,0.11443661971830986,0.39080459770114945,0.4722222222222222,0.3333333333333333,0.03169014084507042,0.0448943661971831,0.529217080698219
rf_qrc_ring_tm_vn3_alpha3000,3,3000.0,train,5420,0.0754088937732744,-2.5690934446002744,0.669236195003256,0.09931935412572275,0.057089477120296155,0.15118931906496363,15.3075556696905,0.4392209536601746,0.8074074074074075,0.3016605166051661,0.07472324723247233,0.2,0.49056603773584906,0.7707509881422925,0.35977859778597787,0.046678966789667896,0.1,0.4419134396355353,0.5773809523809523,0.35793357933579334,0.03099630996309963,0.05,
rf_qrc_ring_tm_vn3_alpha3000,3,3000.0,val,1219,0.07222694618834447,-1.9337285591274165,0.31511539874837957,0.06081226069827106,0.04133661280474612,0.08494972076225073,15.054902302957569,0.08974358974358974,0.25,0.0546875,0.022969647251845776,0.10500410172272355,0.0,0.0,0.0,0.009844134536505332,0.026251025430680888,0.0,0.0,0.0,0.003281378178835111,0.0,
rf_qrc_ring_tm_vn3_alpha3000,3,3000.0,test,1136,0.12612106667100567,0.5961399823768414,0.5677895340941194,0.12273565132235827,0.0741293611477624,0.10301311928988537,14.860769057451195,0.40816326530612246,0.8974358974358975,0.2641509433962264,0.06866197183098592,0.23327464788732394,0.33879781420765026,0.5849056603773585,0.23846153846153847,0.04665492957746479,0.11443661971830986,0.3764705882352941,0.47058823529411764,0.3137254901960784,0.02992957746478873,0.0448943661971831,0.5137672682838804
rf_qrc_ring_tm_vn3_alpha10000,3,10000.0,train,5420,0.07908799106174463,-2.537397352835487,0.6560996256815743,0.09931935412572275,0.04465591390288924,0.14882026743743798,15.3075556696905,0.414176511466296,0.8394366197183099,0.27490774907749077,0.06549815498154982,0.2,0.4049586776859504,0.7989130434782609,0.27121771217712176,0.03394833948339483,0.1,0.2073170731707317,0.5964912280701754,0.12546125461254612,0.01051660516605166,0.05,
rf_qrc_ring_tm_vn3_alpha10000,3,10000.0,val,1219,0.06804300249538649,-2.3033461368783628,0.31632345996175837,0.06081226069827106,0.03712614709965217,0.09095566606524062,15.054902302957569,0.07741935483870968,0.2222222222222222,0.046875,0.022149302707136997,0.10500410172272355,0.0,0.0,0.0,0.006562756357670222,0.026251025430680888,0.0,0.0,0.0,0.0008203445447087777,0.0,
rf_qrc_ring_tm_vn3_alpha10000,3,10000.0,test,1136,0.12531912776607423,-0.11118572434691332,0.5597913209710841,0.12273565132235827,0.06281377168754491,0.10538930308244968,14.860769057451195,0.3905325443786982,0.9041095890410958,0.2490566037735849,0.06426056338028169,0.23327464788732394,0.3333333333333333,0.6,0.23076923076923078,0.04401408450704225,0.11443661971830986,0.32,0.5,0.23529411764705882,0.02112676056338028,0.0448943661971831,0.48442931564173186
rf_qrc_ring_tm_vn5_alpha1000,5,1000.0,train,5420,0.0716037798411994,-2.5979807492411724,0.7036361787014654,0.09931935412572275,0.06429734219114926,0.15278366054396153,18.515595379618038,0.4781491002570694,0.788135593220339,0.34317343173431736,0.08708487084870849,0.2,0.51338199513382,0.7535714285714286,0.3892988929889299,0.05166051660516605,0.1,0.5052631578947369,0.5882352941176471,0.44280442804428044,0.037638376383763834,0.05,
rf_qrc_ring_tm_vn5_alpha1000,5,1000.0,val,1219,0.07443544652912952,-1.747220924733923,0.32001821063691516,0.06081226069827106,0.046385313140311066,0.08360564696869785,17.714624878342796,0.10191082802547771,0.27586206896551724,0.0625,0.02378999179655455,0.10500410172272355,0.0,0.0,0.0,0.012305168170631665,0.026251025430680888,0.0,0.0,0.0,0.008203445447087777,0.0,
rf_qrc_ring_tm_vn5_alpha1000,5,1000.0,test,1136,0.1244751922827605,0.8755132548387788,0.5815366677729269,0.12273565132235827,0.07758685046537861,0.1043067075684702,17.370751824694924,0.4481792717086835,0.8695652173913043,0.3018867924528302,0.08098591549295775,0.23327464788732394,0.3829787234042553,0.6206896551724138,0.27692307692307694,0.051056338028169015,0.11443661971830986,0.4827586206896552,0.5833333333333334,0.4117647058823529,0.03169014084507042,0.0448943661971831,0.5369175035060177
rf_qrc_ring_tm_vn5_alpha3000,5,3000.0,train,5420,0.0735032119837345,-2.5815717797789817,0.6880268469851658,0.09931935412572275,0.059883567858252724,0.15184110048572835,18.515595379618038,0.46275543836519445,0.8106235565819861,0.3238007380073801,0.07988929889298893,0.2,0.4968944099378882,0.7604562737642585,0.36900369003690037,0.0485239852398524,0.1,0.48034934497816595,0.5882352941176471,0.4059040590405904,0.03450184501845018,0.05,
rf_qrc_ring_tm_vn5_alpha3000,5,3000.0,val,1219,0.07354444983183422,-1.7716254702315253,0.3196272191557306,0.06081226069827106,0.04371440964413205,0.08356995983790237,17.714624878342796,0.08917197452229299,0.2413793103448276,0.0546875,0.02378999179655455,0.10500410172272355,0.0,0.0,0.0,0.013125512715340444,0.026251025430680888,0.0,0.0,0.0,0.007383100902378999,0.0,
rf_qrc_ring_tm_vn5_alpha3000,5,3000.0,test,1136,0.12527659621702622,0.9272356368094733,0.5790329240090293,0.12273565132235827,0.07711753908912623,0.10324523782694296,17.370751824694924,0.4207492795389049,0.8902439024390244,0.27547169811320754,0.0721830985915493,0.23327464788732394,0.39361702127659576,0.6379310344827587,0.2846153846153846,0.051056338028169015,0.11443661971830986,0.4,0.5,0.3333333333333333,0.02992957746478873,0.0448943661971831,0.5286571372545441
rf_qrc_ring_tm_vn5_alpha10000,5,10000.0,train,5420,0.07658519538696063,-2.5579074549389396,0.6718557580230751,0.09931935412572275,0.050316146963276014,0.14995261011167327,18.515595379618038,0.42652084757347913,0.8232189973614775,0.2878228782287823,0.06992619926199262,0.2,0.4740932642487047,0.7956521739130434,0.3376383763837638,0.042435424354243544,0.1,0.3520408163265306,0.5702479338842975,0.25461254612546125,0.022324723247232472,0.05,
rf_qrc_ring_tm_vn5_alpha10000,5,10000.0,val,1219,0.07061685700826575,-2.05511915851046,0.3173839599929912,0.06081226069827106,0.03988741999663863,0.0871123142721503,17.714624878342796,0.08917197452229299,0.2413793103448276,0.0546875,0.02378999179655455,0.10500410172272355,0.0,0.0,0.0,0.009023789991796555,0.026251025430680888,0.0,0.0,0.0,0.002461033634126333,0.0,
rf_qrc_ring_tm_vn5_alpha10000,5,10000.0,test,1136,0.1253776336175995,0.42405449126943906,0.5680059159290548,0.12273565132235827,0.07053370308313947,0.10411064806208732,17.370751824694924,0.4046920821114369,0.9078947368421053,0.26037735849056604,0.06690140845070422,0.23327464788732394,0.3425414364640884,0.6078431372549019,0.23846153846153847,0.0448943661971831,0.11443661971830986,0.35443037974683544,0.5,0.27450980392156865,0.02464788732394366,0.0448943661971831,0.5073050065876862
