candidate,from_state,to_state,raw_transition_days,episode_count,episodes_1993_2004,episodes_2005_2014,episodes_2015_2019,episodes_2020_2024,fwd_return_5d_mean,fwd_return_5d_median,fwd_return_10d_mean,fwd_return_10d_median,fwd_return_20d_mean,fwd_return_20d_median,fwd_max_drawdown_20d_mean,fwd_max_drawdown_20d_median,fwd_max_upside_20d_mean,fwd_max_upside_20d_median,future_rv_20d_mean,future_rv_20d_median
state__vol_level_x_acceleration_grid,8,4,2,2,1,1,0,0,-0.011937125700000828,-0.011937125700000828,-0.006241422182299228,-0.006241422182299228,0.043203122481283995,0.043203122481283995,-0.020840074451199564,-0.020840074451199564,0.043203122481283995,0.043203122481283995,0.22476342869930183,0.22476342869930183
state__vol_level_x_acceleration_grid,8,5,14,13,6,4,0,3,0.0021971779737412446,0.007320037381663536,-0.0018637675171396379,-0.0063950645149155605,-0.00018203889814694119,-0.004147722010001353,-0.030468398574994702,-0.02897359953555645,0.029972753410867206,0.03380004375410195,0.18056313644623107,0.1745097490517547
state__vol_level_x_acceleration_grid,8,6,53,53,21,20,4,8,0.008221133212374547,0.010972466912246626,0.01860862764404547,0.02130921241515371,0.014478424859822174,0.012852109371836118,-0.029981810239216266,-0.023360492915404985,0.045487662981634994,0.03711793444768463,0.21710759285151468,0.1976694450044153
state__vol_level_x_acceleration_grid,8,7,152,126,60,36,12,18,0.004652641712045745,0.005530946735177511,0.006896024791465221,0.011778924987378536,0.013549974168899019,0.02103764806866082,-0.037978059792295335,-0.027068317432007827,0.04471498561278111,0.04040003742501064,0.2366337083400322,0.20573603988274347
state__risk4_k2,0,1,169,126,57,34,16,19,0.0029096993555477835,0.006977386721524481,0.004493644455073505,0.008157559142428328,0.016922645099472774,0.020337655626536333,-0.031143039005749044,-0.023343852207047933,0.03949646641437452,0.03895257320325174,0.1987318801625065,0.19267518617950205
state__risk4_k2,1,0,169,132,59,36,16,21,0.004588495257360034,0.0076358338424330485,0.009000672252298912,0.01016576865873442,0.014732551756281456,0.021952786681438075,-0.030909033452870164,-0.023298962647895938,0.04400059682283961,0.03982570554545961,0.21746570557241757,0.2065280243841204
state__state8_k2,0,1,286,194,86,57,20,31,0.0009584518277863056,0.0010637261895277694,0.0050471536395728794,0.010830618887950783,0.013923071783564125,0.02137651745465441,-0.030195161611490638,-0.025495666494472324,0.03841722775108832,0.037124409365054234,0.19138707846513978,0.188015384423717
state__state8_k2,1,0,286,190,81,55,20,34,0.0024321743247787417,0.006209458411077673,0.006234121510892892,0.011025745817947241,0.01335773897214471,0.01955550525198313,-0.03206884616486914,-0.022442944631793027,0.03967414707297231,0.03770982426758085,0.20483341246016626,0.196220208308505
state__risk4_k3,0,1,567,475,189,147,77,62,0.0017727130833196643,0.0030219001528195566,0.004085120306250147,0.006487136842814101,0.0077148469604596676,0.013409605307458938,-0.02223400735714199,-0.014901235787708134,0.027156244884872748,0.024010267082027248,0.13721936275442742,0.1218191340363404
state__risk4_k3,0,2,75,60,24,22,3,11,0.008434043716602507,0.005699190098928053,0.009670994516077884,0.01396393824446196,0.012458878311184474,0.028924985382527413,-0.037383351248832165,-0.02297675912893532,0.04811135639315036,0.04879716317162308,0.24961219090809206,0.218259464344482
state__risk4_k3,1,0,554,465,177,152,78,58,0.002462936096282471,0.0031965399791085147,0.0047640228604562285,0.007683255115017662,0.0075919257436216706,0.0133878944373933,-0.02236180812619337,-0.013788148761421315,0.02699278060146609,0.023901164681454867,0.1383637399488332,0.1228065772425547
state__risk4_k3,1,2,49,44,23,10,4,7,0.0007431209872105746,0.0013183633852562604,0.014593073834040961,0.01204079989921425,0.017584843549773747,0.02477352872709848,-0.03157711811428131,-0.029453425870300642,0.04626187087946612,0.044551627481839606,0.23269865076317456,0.22190238665490813
state__risk4_k3,2,0,87,72,32,21,8,11,0.0013285862513885153,0.0019615687509312307,0.004169578603924524,0.00857663790032781,0.01591532354673221,0.015679858790909162,-0.03112406335676691,-0.026571670899523614,0.04051928573460525,0.037857401988415806,0.20908050836408731,0.20561902652113978
