index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
^BSESN_data,1,max20,0.052692344462774626,15,45,0.052692344462774626,True
^BSESN_data,5,level,0.025423804381172133,15,45,0.025423804381172133,True
^BSESN_data,5,mean5,-0.02496158107471378,15,45,0.02496158107471378,True
^BSESN_data,5,mean20,-0.02957586507508823,15,45,0.02957586507508823,True
^BSESN_data,5,slope5,0.07156476833644147,15,45,0.07156476833644147,True
^BSESN_data,5,slope20,-0.07745667278431921,15,45,0.07745667278431921,True
^BSESN_data,5,std20,-0.03940834781953888,15,45,0.03940834781953888,True
^BSESN_data,5,max20,0.22121773082692026,15,45,0.22121773082692026,True
^BSESN_data,10,level,-0.005316359466802658,15,45,0.005316359466802658,True
^BSESN_data,10,mean5,0.04342689679056104,15,45,0.04342689679056104,True
^BSESN_data,10,mean20,-0.07682583292085608,15,45,0.07682583292085608,True
^BSESN_data,10,slope5,0.11042457081919714,15,45,0.11042457081919714,True
^BSESN_data,10,slope20,0.0479650269693395,15,45,0.0479650269693395,True
^BSESN_data,10,std20,0.11562117320645529,15,45,0.11562117320645529,True
^BSESN_data,10,max20,0.02669573688833254,15,45,0.02669573688833254,True
^BVSP_data,1,level,-0.006921194890285958,8,24,0.006921194890285958,True
^BVSP_data,1,mean5,0.04585749256025082,8,24,0.04585749256025082,True
^BVSP_data,1,mean20,0.042081894025459095,8,24,0.042081894025459095,True
^BVSP_data,1,slope5,-0.002192439176128359,8,24,0.002192439176128359,True
^BVSP_data,1,slope20,-0.07992460724009114,8,24,0.07992460724009114,True
^BVSP_data,1,std20,-0.09082807616484258,8,24,0.09082807616484258,True
^BVSP_data,1,max20,0.1406373382185849,8,24,0.1406373382185849,True
^BVSP_data,5,level,0.12360922117712739,8,24,0.12360922117712739,True
^BVSP_data,5,mean5,-0.12338228616346554,8,24,0.12338228616346554,True
^BVSP_data,5,mean20,0.145714505470367,8,24,0.145714505470367,True
^BVSP_data,5,slope5,-0.05959164422279024,8,24,0.05959164422279024,True
^BVSP_data,5,slope20,0.19398045190605145,8,24,0.19398045190605145,True
^BVSP_data,5,std20,0.07684386351652021,8,24,0.07684386351652021,True
^BVSP_data,5,max20,0.06497834086491439,8,24,0.06497834086491439,True
^BVSP_data,10,level,0.055564680363768326,8,24,0.055564680363768326,True
^BVSP_data,10,mean5,0.06917945135173972,8,24,0.06917945135173972,True
^BVSP_data,10,mean20,0.1391744964727781,8,24,0.1391744964727781,True
^BVSP_data,10,slope5,0.04044362731875172,8,24,0.04044362731875172,True
^BVSP_data,10,slope20,0.0037487681218371207,8,24,0.0037487681218371207,True
^BVSP_data,10,std20,0.11819199370389753,8,24,0.11819199370389753,True
