model,split,n_rows,rmse,qlike,corr,actual_std,pred_std,pred_mean,n_qubits,h,seed,features,effective_rank,elapsed_feature_seconds,q80_precision,q80_recall,q80_f1,q80_pred_rate,q90_precision,q90_recall,q90_f1,q90_pred_rate,q95_precision,q95_recall,q95_f1,q95_pred_rate,top20_pred_actual_ratio
TFIM_6q_h0.2_seed2,val,500,0.05359313828589269,-2.8644705931983525,0.17963315924547207,0.0542449043115403,0.008473929212173858,0.13981734299051993,6,0.2,2,21,13.763606092112616,8.486562013626099,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.2_seed2,test,700,0.15586797849505005,-1.0595510434691444,0.230945423298298,0.14797582618463517,0.008172770795518132,0.1394050036429875,6,0.2,2,21,13.763606092112616,8.486562013626099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35066409394138787
TFIM_6q_h0.5_seed0,train,1600,0.05431221960069457,-2.8905392386126874,0.6616068948876577,0.06876837833520376,0.03152007320941096,0.13038425090037645,6,0.5,0,21,12.525514519999263,11.337116956710815,0.75,0.084375,0.15168539325842698,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.5_seed0,val,500,0.058767591299728236,-2.8438349292650247,0.1229113057082037,0.0542449043115403,0.0018549680363425115,0.15809037007372387,6,0.5,0,21,12.525514519999263,11.337116956710815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.5_seed0,test,700,0.15198506949213264,-1.322239309484637,0.42316880411204033,0.14797582618463517,0.0007625120660965127,0.15714048643231837,6,0.5,0,21,12.525514519999263,11.337116956710815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39114141938185404
TFIM_6q_h0.5_seed1,train,1600,0.06288451003949574,-2.7545513285943115,0.5533004595042902,0.06876837833520376,0.015381144117758965,0.12753023779213724,6,0.5,1,21,14.852457502439636,12.316977739334106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.5_seed1,val,500,0.05429690881883714,-2.832651950807785,0.07597596933039254,0.0542449043115403,0.002952412426489868,0.1304050204898175,6,0.5,1,21,14.852457502439636,12.316977739334106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h0.5_seed1,test,700,0.16085430018812494,-0.6017874827879568,-0.0496633234763366,0.14797582618463517,0.005118231478671218,0.13090550828652928,6,0.5,1,21,14.852457502439636,12.316977739334106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32264845567644396
TFIM_6q_h0.5_seed2,train,1600,0.0544080910875191,-2.885003573607561,0.6595826594768751,0.06876837833520376,0.03157203109925206,0.1302276698355436,6,0.5,2,21,15.569859827394005,16.55781388282776,0.6410256410256411,0.15625,0.25125628140703515,0.04875,0.0,0.0,0.0,0.006875,0.0,0.0,0.0,0.0,
TFIM_6q_h0.5_seed2,val,500,0.06494567614545593,-2.809625364097936,0.17805815705567876,0.0542449043115403,0.003414258265023603,0.1714817092966497,6,0.5,2,21,15.569859827394005,16.55781388282776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
