index,market_group,onset_date,effective_start,threshold,train_days,history_start,history_end,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,representative_rank
^JKSE_data,indonesia,2009-03-23,1996-01-01,-4.337102417114168,4882,1996-01-02,2024-06-24,-4.577575068877078,-3.8988943042656565,0.6786807646114212,-3.262556434190056,1.3150186346870218,36,2.0,GE130,0
^N100_data,europe_regional,2009-06-15,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-5.240312439281002,-4.118509278745768,1.1218031605352339,-3.939955161891843,1.3003572773891592,21,1.0,GE131,0
^FCHI_data,france,2009-06-15,1990-01-01,-4.369383425697008,6539,1990-03-01,2024-06-24,-5.218732433986227,-4.043086931592212,1.1756455023940147,-3.791392039973191,1.4273403940130356,26,1.0,GE131,0
^TA125.TA_data,israel,2009-06-10,1995-01-01,-4.59170608332499,4148,1995-01-02,2024-06-24,-4.749883712927148,-4.195245459509816,0.5546382534173322,-4.01988980190155,0.7299939110255984,26,1.0,GE131,0
^STI_data,singapore,2009-07-09,1993-01-01,-4.571539233579921,5751,1993-01-04,2024-06-24,-4.624494706261466,-4.240320309398761,0.38417439686270427,-3.904161742408969,0.7203329638524965,26,1.0,GE132,0
000001.SS_data,china_mainland,2009-07-29,1997-01-01,-4.183576157982243,4478,1997-07-02,2024-06-24,-4.785504223915528,-2.9811499377109576,1.8043542862045707,-2.9811499377109576,1.8043542862045707,31,2.0,GE133,0
^AORD_data,australia,2009-08-13,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-4.8897625346510205,-4.484164278646167,0.4055982560048532,-4.126796719889652,0.7629658147613689,25,3.0,GE134,0
^NYA_data,united_states,2009-10-21,2003-01-01,-4.593240096435604,3268,2003-01-09,2024-06-24,-4.788276769827535,-4.527119866016524,0.26115690381101064,-3.8569298755945813,0.9313468942329535,20,4.0,GE135,1
^GSPTSE_data,canada,2010-01-20,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.869526798402555,-4.671949952137535,1.1975768462650205,-4.238533221787939,1.6309935766146166,17,3.0,GE136,0
^AORD_data,australia,2010-04-28,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-5.4120365543567654,-4.7443362637672415,0.667700290589524,-3.981889622417893,1.4301469319388724,33,1.0,GE137,0
^BFX_data,belgium,2010-04-22,1993-01-01,-4.582960452859673,5832,1993-01-04,2024-06-24,-4.944297758102687,-4.426024630338171,0.5182731277645161,-3.6385810523092226,1.3057167057934644,31,1.0,GE137,0
^N100_data,europe_regional,2010-04-22,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-4.906864671372428,-4.304751860147035,0.6021128112253935,-3.504695266713675,1.4021694046587534,30,1.0,GE137,0
^STOXX50E_data,eurozone_regional,2010-04-27,2007-01-01,-4.237814620924024,2180,2007-03-30,2024-06-24,-5.075019494441094,-3.830527507456088,1.2444919869850057,-2.962786595374297,2.1122328990667967,26,2.0,GE137,0
^FCHI_data,france,2010-04-22,1990-01-01,-4.369383425697008,6539,1990-03-01,2024-06-24,-4.704062109898777,-4.189300805721656,0.5147613041771208,-3.141441912695104,1.5626201972036728,31,1.0,GE137,0
^FTSE_data,united_kingdom,2010-04-22,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-4.841640738077926,-4.467943667932841,0.37369707014508524,-3.454517897465274,1.3871228406126517,39,1.0,GE137,0
^RUT_data,united_states,2010-04-22,1987-01-01,-4.493549183362031,7137,1987-09-10,2024-06-24,-5.160817490947292,-4.165333129465809,0.9954843614814832,-2.8690599081071233,2.291757582840169,45,1.0,GE137,4
^AXJO_data,australia,2010-05-04,2001-01-01,-4.780531308960204,3789,2001-01-02,2024-06-24,-5.413509205713999,-4.7694998134397455,0.6440093922742536,-3.9774938500134818,1.4360153557005173,26,6.0,GE138,1
399001.SZ_data,china_mainland,2010-05-05,1997-01-01,-4.044947295855071,4447,1997-08-22,2024-06-24,-4.3915524102005925,-3.987532933295026,0.4040194769055665,-3.3838658539044055,1.007686556296187,21,2.0,GE138,1
^JKSE_data,indonesia,2010-05-05,1996-01-01,-4.337102417114168,4882,1996-01-02,2024-06-24,-4.59463899558982,-3.6643771946117663,0.9302618009780539,-3.14443184785741,1.45020714773241,18,4.0,GE138,0
^GSPC_data,united_states,2010-05-04,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-4.7909382791619946,-4.205173204968755,0.5857650741932394,-2.904406380252967,1.8865318989090274,32,1.0,GE138,0
^JKSE_data,indonesia,2011-01-07,1996-01-01,-4.337102417114168,4882,1996-01-02,2024-06-24,-4.508057578087164,-3.873418790676779,0.6346387874103847,-3.4793873619073477,1.0286702161798162,13,5.0,GE139,0
^IPSA_data,chile,2011-01-27,2002-01-01,-4.701522233973765,3487,2002-01-02,2019-06-14,-5.556428229242087,-4.431264134993034,1.1251640942490528,-3.871540334128531,1.684887895113556,27,2.0,GE140,0
^AXJO_data,australia,2011-07-25,2001-01-01,-4.780531308960204,3789,2001-01-02,2024-06-24,-5.093218945390138,-4.742779309064527,0.3504396363256106,-3.1511396158157003,1.9420793295744376,37,1.0,GE141,1
^NYA_data,united_states,2011-07-18,2003-01-01,-4.593240096435604,3268,2003-01-09,2024-06-24,-5.436395895555145,-4.535987553497043,0.9004083420581015,-2.9841320863585636,2.452263809196581,53,1.0,GE141,1
^BFX_data,belgium,2011-08-01,1993-01-01,-4.582960452859673,5832,1993-01-04,2024-06-24,-5.000690685264666,-3.8136547779544108,1.1870359073102552,-3.1689789271804147,1.8317117580842512,43,10.0,GE142,0
^GSPTSE_data,canada,2011-07-27,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.051819631149408,-4.410245286768527,0.6415743443808815,-3.597983196501628,1.4538364346477803,51,11.0,GE142,0
^IPSA_data,chile,2011-07-26,2002-01-01,-4.701522233973765,3487,2002-01-02,2019-06-14,-5.485882343728573,-4.271325544348735,1.2145567993798378,-3.076443804702076,2.409438539026497,43,2.0,GE142,0
^N100_data,europe_regional,2011-08-01,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-4.617428956169574,-3.9300823499089,0.6873466062606739,-3.4355888810472086,1.1818400751223654,47,1.0,GE142,0
^FCHI_data,france,2011-08-01,1990-01-01,-4.369383425697008,6539,1990-03-01,2024-06-24,-4.6153411635855015,-3.7936184061497333,0.8217227574357682,-3.096865456702699,1.5184757068828025,49,1.0,GE142,0
^GDAXI_data,germany,2011-08-01,1994-01-01,-4.240767995165668,5570,1994-01-03,2024-06-24,-4.53666299207907,-3.5869906303059977,0.9496723617730725,-2.8863842100293793,1.650278782049691,54,10.0,GE142,0
^TA125.TA_data,israel,2011-08-01,1995-01-01,-4.59170608332499,4148,1995-01-02,2024-06-24,-5.45440304467111,-4.05368987276152,1.4007131719095893,-3.640975831036232,1.8134272136348777,32,1.0,GE142,0
^NZ50_data,new_zealand,2011-08-01,2004-01-01,-5.095025226371794,2919,2004-01-05,2024-06-24,-5.246706837880626,-5.039024777056405,0.20768206082422047,-3.6851212565132885,1.5615855813673374,27,3.0,GE142,0
^FTSE_data,united_kingdom,2011-07-29,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-4.788271162637577,-4.566261017012794,0.22201014562478338,-3.0710375559345358,1.7172336067030414,52,2.0,GE142,0
^GSPC_data,united_states,2011-07-27,1962-01-01,-4.466075467613806,13556,1962-01-02,2024-06-24,-5.517560819243325,-4.3464003655961045,1.1711604536472207,-3.192734928690457,2.324825890552868,45,1.0,GE142,0
^AORD_data,australia,2011-08-03,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-5.020734291224477,-4.523485254247297,0.4972490369771796,-3.182331920235602,1.8384023709888746,41,16.0,GE143,0
^STOXX50E_data,eurozone_regional,2011-08-03,2007-01-01,-4.237814620924024,2180,2007-03-30,2024-06-24,-4.492083535768171,-4.053221185527058,0.43886235024111286,-2.9834069569550077,1.5086765788131635,42,8.0,GE143,0
^STI_data,singapore,2011-08-03,1993-01-01,-4.571539233579921,5751,1993-01-04,2024-06-24,-4.829881792938835,-4.377314170251519,0.4525676226873161,-3.4935961156053104,1.3362856773335245,37,1.0,GE143,0
^KS11_data,south_korea,2011-08-04,1996-01-01,-4.167921631193132,4705,1996-12-11,2024-06-24,-4.956937650531346,-4.1102920400607355,0.8466456104706106,-3.011031774504516,1.94590587602683,22,1.0,GE143,0
^JKSE_data,indonesia,2011-09-07,1996-01-01,-4.337102417114168,4882,1996-01-02,2024-06-24,-4.650652273703149,-4.072944441083232,0.5777078326199172,-2.8612915030841073,1.7893607706190418,26,1.0,GE144,0
^BFX_data,belgium,2011-10-24,1993-01-01,-4.582960452859673,5832,1993-01-04,2024-06-24,-4.735105886003063,-4.53855064647854,0.19655523952452292,-3.5943215254605754,1.1407843605424874,36,2.0,GE145,0
^BFX_data,belgium,2012-04-04,1993-01-01,-4.582960452859673,5832,1993-01-04,2024-06-24,-4.861188152829071,-3.9526070013956973,0.9085811514333733,-3.9526070013956973,0.9085811514333733,32,2.0,GE146,0
^GSPTSE_data,canada,2012-05-02,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.6543008638444,-4.882754459773216,0.7715464040711835,-4.017179849563397,1.6371210142810027,30,3.0,GE147,0
^FTSE_data,united_kingdom,2012-05-04,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-5.1526539700126355,-4.316018863953411,0.8366351060592248,-4.144215582140446,1.0084383878721894,21,3.0,GE147,0
^N225_data,japan,2013-05-23,1989-01-01,-4.395430311287022,6639,1989-01-04,2024-06-24,-4.5498502549236495,-2.853803104217468,1.6960471507061814,-2.853803104217468,1.6960471507061814,33,4.0,GE148,0
^AORD_data,australia,2013-06-13,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-5.144243737548164,-4.770408789933025,0.3738349476151388,-4.141482399690194,1.0027613378579705,17,3.0,GE149,0
^JKSE_data,indonesia,2013-06-07,1996-01-01,-4.337102417114168,4882,1996-01-02,2024-06-24,-5.107345054441176,-4.222491048462201,0.8848540059789745,-3.4862164450003137,1.621128609440862,21,6.0,GE149,0
^IPSA_data,chile,2013-08-27,2002-01-01,-4.701522233973765,3487,2002-01-02,2019-06-14,-4.924260289005283,-4.263298329886047,0.6609619591192359,-2.564089223494672,2.360171065510611,18,2.0,GE150,0
^MERV_data,argentina,2014-01-23,1996-01-01,-3.9763398936998335,4716,1996-10-08,2024-06-24,-4.486756850211092,-3.7934743380683544,0.693282512142738,-3.3497696997784216,1.1369871504326707,10,3.0,GE151,0
^MERV_data,argentina,2014-10-01,1996-01-01,-3.9763398936998335,4716,1996-10-08,2024-06-24,-4.727367276700522,-2.9591761311028018,1.7681911455977204,-2.7923515092551146,1.9350157674454076,32,4.0,GE152,0
^GSPTSE_data,canada,2014-09-25,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.061810921073938,-4.640040704422011,0.42177021665192704,-3.7970228169214306,1.2647881041525078,25,2.0,GE152,0
000001.SS_data,china_mainland,2014-12-02,1997-01-01,-4.183576157982243,4478,1997-07-02,2024-06-24,-4.459581563660975,-3.7030078275291234,0.7565737361318514,-2.955175461151557,1.5044061025094178,28,7.0,GE153,0
^GSPTSE_data,canada,2015-01-12,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-4.939879557823315,-4.5296161471430905,0.41026341068022454,-4.20742401800192,0.7324555398213954,17,3.0,GE154,0
399001.SZ_data,china_mainland,2015-05-21,1997-01-01,-4.044947295855071,4447,1997-08-22,2024-06-24,-4.132775489263272,-4.015294277752687,0.11748121151058477,-2.5813144402463535,1.5514610490169187,49,1.0,GE155,1
