date,model,train_n,intercept,momentum_13w,return_1w,vol_13w,bull_probability,long_regime_uncertainty,one_week_probability_motion
2015-11-06,compact_directional,112,0.5193946233675609,0.5432260133464203,0.12941416975056816,0.0013647509289671045,-0.28664789333430746,,
2015-11-06,compact_transition,112,0.5242399111609203,0.5044455921464115,0.08858173750769169,-0.00014045976402188293,-0.3358480548031397,0.07609843988008805,-0.23872788173887796
2016-05-06,momentum_13w,113,0.4766725136609627,0.5368670256346412,,,,,
2016-05-06,compact_directional,113,0.49073466739020366,0.530131981592257,0.1194669183781161,-0.0066920994089514985,-0.2684216676066644,,
2016-05-06,compact_transition,113,0.49452957700480266,0.4953346574448944,0.08221243188947447,-0.007581452300092904,-0.30965422285194383,0.05735644738544625,-0.2083144882584016
2016-11-11,momentum_13w,114,0.4931882875697754,0.551639568581642,,,,,
2016-11-11,compact_directional,114,0.5081430553344678,0.5435492948483098,0.11481985986282106,-0.01263925483825039,-0.28138026104955094,,
2016-11-11,compact_transition,114,0.5127890167007098,0.506045308487369,0.07623981152926973,-0.01277656671287494,-0.3223656354885429,0.052782370512859576,-0.2135293721048491
2018-05-25,momentum_13w,115,0.5079789819286527,0.5488431229217619,,,,,
2018-05-25,compact_directional,115,0.5217877183908024,0.5263899732318967,0.1500989243421489,-0.01868717523006381,-0.25286535368321844,,
2018-05-25,compact_transition,115,0.5257607360997156,0.4908130956239529,0.1125911432468133,-0.018197814038657455,-0.28768338580744407,0.02644144227309498,-0.19152083047926383
2018-10-26,momentum_13w,116,0.5225400896713419,0.5460321881187874,,,,,
2018-10-26,compact_directional,116,0.5375213951920802,0.525612194866512,0.15103200630251334,-0.01688126488660302,-0.26407545561472523,,
2018-10-26,compact_transition,116,0.5419972055779855,0.4884021615858632,0.11121537975772985,-0.01667936102529889,-0.29988159298837047,0.025217022858824354,-0.20008616319706882
2019-02-08,momentum_13w,117,0.5002819598184522,0.5610347179199336,,,,,
2019-02-08,compact_directional,117,0.5169370817269827,0.5360454880572607,0.17488392952491524,-0.009311876603123565,-0.2663392096852739,,
2019-02-08,compact_transition,117,0.521597974189016,0.49874454947321706,0.1299166436524243,-0.008298181812874401,-0.29967098454082647,-0.0057003200278814515,-0.19069328225851478
2019-06-07,momentum_13w,118,0.514344102194858,0.5543032242346474,,,,,
2019-06-07,compact_directional,118,0.5332853944863598,0.5381514467189092,0.1751674016237299,0.015460012838909402,-0.26464875443079955,,
2019-06-07,compact_transition,118,0.5376000540614251,0.49892439094309793,0.13091340239618884,0.01455352694099491,-0.30118787459627033,0.014660994040983692,-0.20479740901749294
2019-08-02,momentum_13w,118,0.514344102194858,0.5543032242346474,,,,,
2019-08-02,compact_directional,118,0.5332853944863598,0.5381514467189092,0.1751674016237299,0.015460012838909402,-0.26464875443079955,,
2019-08-02,compact_transition,118,0.5376000540614251,0.49892439094309793,0.13091340239618884,0.01455352694099491,-0.30118787459627033,0.014660994040983692,-0.20479740901749294
2020-07-24,momentum_13w,120,0.5435590872880873,0.5608018773655874,,,,,
2020-07-24,compact_directional,120,0.5628796429672979,0.5465846979525868,0.17220078032358274,0.025289434200739803,-0.24545358068996675,,
2020-07-24,compact_transition,120,0.5661334019785753,0.5113225755658626,0.13748534370484375,0.023243049294073455,-0.2803621054692859,0.03234131987493874,-0.1934213679683644
2021-01-01,momentum_13w,121,0.5596876716386755,0.5787401901177924,,,,,
2021-01-01,compact_directional,121,0.5807783827382476,0.5686428556993882,0.16755823708745507,0.03587851887814104,-0.2490577579273607,,
2021-01-01,compact_transition,121,0.5842047457991919,0.531632237723608,0.13273098621552962,0.03300628780080829,-0.2845057732031466,0.03369981045588618,-0.19590838773923633
2021-04-30,momentum_13w,122,0.5755218869166154,0.5950547976492043,,,,,
2021-04-30,compact_directional,122,0.5987954292996464,0.5851090907193188,0.16778549002143314,0.04415384049725283,-0.2533835388477903,,
2021-04-30,compact_transition,122,0.6025092633595163,0.5462457996204605,0.13207931309098778,0.040491396686437274,-0.2891164221650287,0.03209930901944835,-0.1980984840427108
