model,transition,n,true_change_rate,mean_p_change,accuracy,mean_abs_error,mean_brier
no_change,deterioration -> mild_stress,74,1.0,1e-06,0.0,0.9999990000000001,0.999998000001
no_change,easing_normalization -> calm,67,1.0,9.999999999999997e-07,0.0,0.999999,0.999998000001
no_change,volatile_rebound -> easing_normalization,39,1.0,9.999999999999995e-07,0.0,0.9999990000000003,0.999998000001
no_change,acute_crisis -> deterioration,38,1.0,9.999999999999995e-07,0.0,0.9999990000000003,0.999998000001
no_change,mild_stress -> easing_normalization,36,1.0,9.999999999999997e-07,0.0,0.9999990000000002,0.999998000001
no_change,calm -> acute_crisis,21,1.0,1.0000000000000002e-06,0.0,0.9999989999999999,0.999998000001
no_change,acute_crisis -> mild_stress,18,1.0,1e-06,0.0,0.999999,0.999998000001
no_change,calm -> deterioration,197,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
no_change,deterioration -> volatile_rebound,128,1.0,1.0000000000000002e-06,0.0,0.9999990000000003,0.9999980000009999
no_change,calm -> volatile_rebound,104,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
no_change,mild_stress -> calm,104,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
no_change,calm -> mild_stress,98,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
no_change,mild_stress -> deterioration,63,1.0,9.999999999999995e-07,0.0,0.9999990000000003,0.9999980000009999
no_change,mild_stress -> volatile_rebound,55,1.0,9.999999999999995e-07,0.0,0.9999990000000003,0.9999980000009999
no_change,calm -> easing_normalization,53,1.0,9.999999999999995e-07,0.0,0.9999990000000002,0.9999980000009999
no_change,easing_normalization -> deterioration,53,1.0,9.999999999999995e-07,0.0,0.9999990000000002,0.9999980000009999
no_change,volatile_rebound -> mild_stress,50,1.0,9.999999999999997e-07,0.0,0.9999990000000001,0.9999980000009999
no_change,acute_crisis -> volatile_rebound,46,1.0,9.999999999999995e-07,0.0,0.9999990000000004,0.9999980000009999
no_change,deterioration -> easing_normalization,46,1.0,9.999999999999995e-07,0.0,0.9999990000000004,0.9999980000009999
no_change,deterioration -> acute_crisis,45,1.0,9.999999999999995e-07,0.0,0.9999990000000003,0.9999980000009999
no_change,easing_normalization -> mild_stress,31,1.0,1e-06,0.0,0.9999989999999997,0.9999980000009999
no_change,easing_normalization -> volatile_rebound,26,1.0,1.0000000000000002e-06,0.0,0.999999,0.9999980000009999
no_change,volatile_rebound -> acute_crisis,26,1.0,1.0000000000000002e-06,0.0,0.999999,0.9999980000009999
no_change,acute_crisis -> easing_normalization,15,1.0,1.0000000000000002e-06,0.0,0.9999990000000003,0.9999980000009999
no_change,mild_stress -> acute_crisis,13,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
no_change,easing_normalization -> acute_crisis,12,1.0,1.0000000000000002e-06,0.0,0.9999990000000002,0.9999980000009999
