run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,val,regression,0.0536786944083775,0.0541332702699853,0.00045457586160780467,0.5303954384299505,0.5099999913340404,-0.020395447095910124,,,,,,,,,,,,,,,,0.0689178068601337,0.2175404463687676,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,test,q90_warning,,,,,,,0.4529411764705882,0.4420289855072464,-0.010912190963341784,0.5923076923076923,0.4692307692307692,-0.12307692307692314,0.5133333333333333,0.4552238805970149,-0.0581094527363184,0.5290705175862221,0.504122839715491,-0.024947677870731155,0.8380970093736052,0.8656226751971433,0.027525665823538104,,,0.1673003802281368,0.1795199058048393,0.6134280613004018
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,test,q95_crisis,,,,,,,0.4264705882352941,0.2804878048780488,-0.1459827833572453,0.5686274509803921,0.4509803921568627,-0.11764705882352944,0.4873949579831932,0.3458646616541353,-0.1415302963290579,0.5690479189602731,0.467226905979604,-0.10182101298066909,0.7472825608230713,0.8300125081479133,0.08272994732484196,,,0.14,0.0835119437039521,0.6361714497119603
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,test,regression,0.0970798996818297,0.0979698494368717,0.0008899497550420021,0.6094008928922269,0.5993281105260215,-0.010072782366205346,,,,,,,,,,,,,,,,0.1203046456991343,0.1723423244011609,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,train,q90_warning,,,,,,,0.6040515653775322,0.6316758747697975,0.027624309392265234,0.6040515653775322,0.6316758747697975,0.027624309392265234,0.6040515653775322,0.6316758747697975,0.027624309392265234,0.6644328124491512,0.7283471491937593,0.06391433674460811,0.9132923095942932,0.9484512068532712,0.03515889725897803,,,0.3701657458563536,0.3457972084473729,0.8161971400981041
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,train,q95_crisis,,,,,,,0.5845588235294118,0.6139705882352942,0.02941176470588236,0.5845588235294118,0.6139705882352942,0.02941176470588236,0.5845588235294118,0.6139705882352942,0.02941176470588236,0.6164070119190418,0.7078138741602371,0.09140686224119532,0.918731963407818,0.9737015079446556,0.054969544536837556,,,0.3235294117647059,0.2938071889055554,0.8959003467588316
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,train,regression,0.0609667077565228,0.0592617478613996,-0.0017049598951231967,0.7899746046380782,0.8033372744646698,0.013362669826591622,,,,,,,,,,,,,,,,0.0905428348965831,0.4171716594175212,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,val,q90_warning,,,,,,,0.0526315789473684,0.1818181818181818,0.1291866028708134,0.03125,0.125,0.09375,0.0392156862745098,0.1481481481481481,0.10893246187363831,0.0828398521369542,0.0791138871331921,-0.0037259650037620995,0.7423740053050398,0.6339246242263483,-0.10844938107869151,,,0.0,0.0201604658081139,0.3504365605658709
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
