episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon,har_future_rv20_pred,actual_future_rv20,har_log_residual_actual
65,16621,16621,16629,2016-01-25,2016-01-25,2016-02-04,7,9,0.2141509403476276,0.1446115395174642,-0.1103001145607924,0.947652035059089,-0.0675144805453847,-0.0017299154931293,-0.0614973546262644,recovery,0.0920153093193039,-0.0255716331343114,0.0853197768731158,True,40,0.1843791397163591,0.2048203341831633,0.10513899669942918
66,17138,17138,17140,2018-02-12,2018-02-12,2018-02-14,2,3,0.2486245094591387,0.1436396756712835,-0.0754890086711657,1.3388934212533945,-0.0098812652029351,0.0026616937570933,-0.0892618385756973,mixed,-0.0051995702536709,-0.0279066706278238,0.0990543755624307,True,40,0.21873767577046227,0.1490609378674663,-0.3835179830029372
67,17173,17173,17185,2018-04-04,2018-04-04,2018-04-20,10,13,0.2165431526325767,0.1438651130366723,-0.0794258586269244,1.0343032110379582,-0.103180605323655,0.0122002399130725,-0.0613457182898891,mixed,0.0229063063977881,-0.0152078208010043,0.08627285706064,True,40,0.20106345231459394,0.1435712556624697,-0.3367890743026852
68,17320,17320,17328,2018-10-31,2018-10-31,2018-11-12,5,9,0.2414071599275755,0.1437699388271731,-0.0747283151976883,0.9517992662689924,-0.0204489621516018,0.0207315733999653,-0.0615613881422696,relapse,-0.0755566143199505,-0.1329920618779365,0.0961789146812005,True,40,0.18515859799848294,0.1865896258878482,0.007698947114984147
69,17363,17363,17375,2019-01-04,2019-01-04,2019-01-23,13,13,0.3041894770617951,0.1440563624113079,-0.1360778157788108,1.0018627171970278,-0.1361202321428778,0.0171730322560339,-0.0796165651831071,recovery,0.101783599493425,0.0070104348486803,0.1211919885475752,True,40,0.2558276194291461,0.1258791948834636,-0.7091811797942835
70,17670,17670,17687,2020-03-25,2020-03-25,2020-04-20,16,18,0.9435662519635688,0.1439247573212733,-0.268915987186429,0.7907462295969263,-0.680711666102152,0.0317898588462428,-0.1980440493779767,mixed,0.1910476578946485,-0.0020440055882241,0.3759257930497607,True,40,0.6128013563569922,0.4888700070791142,-0.22594421185956573
71,17729,17729,17743,2020-06-18,2020-06-18,2020-07-09,10,15,0.273397994023369,0.1443465983810911,-0.0799757312178299,0.6377182579286148,-0.3067965873949322,0.0370262474612701,-0.0526555447278056,recovery,0.082658715421334,-0.0341182779612573,0.108924368063788,True,40,0.2441782223386047,0.1920137844533469,-0.24033121460871068
72,17792,17792,17805,2020-09-17,2020-09-17,2020-10-06,6,14,0.2161930887845667,0.1445812783694545,-0.0625077000455645,0.5499663368859722,-0.2601127613294185,0.0053224546929069,-0.0698691892461429,recovery,0.0536191430696886,-0.0357729311325495,0.0861333882852282,True,40,0.17349452382177835,0.1937529159414383,0.11043768223860859
73,18136,18136,18145,2022-01-28,2022-01-28,2022-02-10,2,10,0.175447829916761,0.1449482099278778,-0.0760357332092752,1.1211616760603582,-0.0195327353888069,0.0076808899902829,-0.0576709896988454,relapse,0.0324175950696028,-0.0589257074560931,0.0699000885873824,True,40,0.1704369933764378,0.2258635607008409,0.2815654151381146
74,18159,18159,18171,2022-03-03,2022-03-03,2022-03-21,6,13,0.229387751240905,0.145139342898473,-0.0902875850460458,1.0300302495901097,-0.0075305477075704,0.017288547337932,-0.0564901172643228,mixed,-0.0530676238873071,-0.0530676238873071,0.0913902676380035,True,40,0.19770848807886438,0.2278687161047368,0.14197599316418463
75,18204,18204,18226,2022-05-06,2022-05-06,2022-06-08,13,23,0.2955900818862387,0.1453571832102942,-0.1403547973172099,1.144617202895969,-0.0383500691796958,-0.0020811760515471,-0.0664818421193462,relapse,-0.0674840726618194,-0.1107281576392014,0.1177659075019762,True,40,0.2570880861960583,0.2803521167278508,0.08662759883044172
76,18234,18234,18248,2022-06-21,2022-06-21,2022-07-12,13,15,0.3036807142508891,0.1456225028224307,-0.2151062442515821,1.0206743493580082,-0.0931368794677969,0.0040349559848902,-0.1078022455462495,recovery,0.1352665074854513,-0.0013015723144006,0.1209892925919218,True,40,0.26080195205963536,0.2040626515460626,-0.245334252799922
77,18288,18288,18291,2022-09-07,2022-09-07,2022-09-12,4,4,0.2111520677870643,0.1459657210933908,-0.1407137850261615,0.777108069780937,-0.1150812957825276,-0.0015791545364081,-0.0569026539474393,relapse,-0.0553234576250059,-0.1012194056662594,0.0841249974464048,True,40,0.18550073379296025,0.2777059117980575,0.40350384472306283
78,18319,18319,18327,2022-10-20,2022-10-20,2022-11-01,9,9,0.2799406297173643,0.1462918246751929,-0.1485227485383433,0.980282043996036,-0.0072397629097493,-0.0011259699583305,-0.0648412723231715,mixed,0.0508977834550501,0.0147608047533689,0.1115310165177599,True,40,0.22798550793547875,0.2847931157566362,0.2224809417950315
79,18364,18364,18379,2022-12-23,2022-12-23,2023-01-18,8,16,0.2077767119127958,0.1466698548759142,-0.1069358232061744,0.7990514565016426,-0.0643490036840629,-0.00195916980039,-0.050520362714888,mixed,0.0435651076050156,-0.0160215813902925,0.0827802234772012,True,40,0.1882530434481251,0.167561050072454,-0.11643927070079557
80,18943,18943,18955,2025-04-17,2025-04-17,2025-05-06,11,13,0.4742501076311827,0.1464934656911206,-0.1402064924722362,0.4497065637103682,-0.6132361418563718,0.0027771295956906,-0.122668590180762,recovery,0.1420503985129821,-0.0235674930238275,0.1889457655402349,True,40,0.302684331070178,0.2100473438429766,-0.36535749861736383
