episode_id,branch_idx,branch_date,event_day,event_type,resolved_within_followup,upper_barrier,lower_barrier
131,14826,2008-10-23,,,False,0.19582197304335627,-0.24922796569154432
132,14849,2008-11-27,,,False,0.17067458985054934,-0.2172222052643355
133,14883,2009-01-22,30.0,relapse,True,0.08311505658460525,-0.10578279928949758
134,14908,2009-02-27,15.0,recovery,True,0.0572509225099931,-0.07286481046726394
135,14933,2009-04-06,36.0,recovery,True,0.08796673583252355,-0.11195766378684814
136,15142,2010-02-15,15.0,recovery,True,0.04526745721691122,-0.057613127366977906
137,15200,2010-05-13,6.0,relapse,True,0.058161060513736165,-0.07402316792657329
138,15222,2010-06-14,49.0,relapse,True,0.0602313212838505,-0.07665804527035518
139,15251,2010-07-26,22.0,relapse,True,0.05250365887118966,-0.06682283856333228
140,15282,2010-09-07,40.0,recovery,True,0.05417607954706176,-0.06895137396898769
141,15412,2011-03-23,,,False,0.12368304137195175,-0.15741477992793856
142,15510,2011-08-15,22.0,relapse,True,0.04806682357260841,-0.06117595727422887
143,15535,2011-09-20,98.0,recovery,True,0.05100075965584098,-0.0649100577437976
144,15597,2011-12-21,21.0,recovery,True,0.045895686136518475,-0.05841269144647805
145,15701,2012-05-25,25.0,recovery,True,0.042303254082251086,-0.05384050519559228
146,15959,2013-06-12,25.0,recovery,True,0.10017166246112227,-0.12749120676870107
147,16003,2013-08-14,63.0,recovery,True,0.0703939886250212,-0.08959234915911787
148,16057,2013-11-01,8.0,recovery,True,0.043006732209823095,-0.054735840994320294
149,16122,2014-02-12,,,False,0.06336030554114856,-0.0806403888705527
150,16149,2014-03-24,60.0,recovery,True,0.04759824659476289,-0.060579586575152757
151,16183,2014-05-14,14.0,recovery,True,0.04253571400286819,-0.054136363276377684
152,16297,2014-10-27,4.0,recovery,True,0.05841630563710466,-0.07434802535631502
153,16347,2015-01-14,9.0,recovery,True,0.04930419850805829,-0.06275079810116509
154,16517,2015-09-17,80.0,relapse,True,0.10081612461466838,-0.12831143132775974
155,16582,2015-12-28,6.0,relapse,True,0.04469306838214074,-0.05688208703181548
156,16603,2016-01-29,9.0,relapse,True,0.08483016034673684,-0.10796565862311959
157,16654,2016-04-13,6.0,recovery,True,0.048886654062765336,-0.06221937789806496
158,16701,2016-06-23,1.0,relapse,True,0.054388224099621116,-0.06922137612679051
159,17105,2018-02-15,57.0,recovery,True,0.05301767184166773,-0.06747703688939528
160,17135,2018-03-30,27.0,recovery,True,0.05645735900686342,-0.07185482055418979
161,17272,2018-10-18,5.0,relapse,True,0.04454073762818741,-0.05668821152678396
162,17297,2018-11-22,19.0,relapse,True,0.043176772904828305,-0.054952256424326926
163,17325,2019-01-09,65.0,recovery,True,0.07342402098697291,-0.09344875398342005
164,17625,2020-04-07,33.0,recovery,True,0.13108998197410612,-0.1668417952397714
165,17676,2020-06-23,91.0,recovery,True,0.05949806878919447,-0.07572481482261113
166,17898,2021-05-21,74.0,recovery,True,0.05585948816152501,-0.07109389402375908
167,17936,2021-07-14,36.0,recovery,True,0.04403049509915803,-0.056038811944382934
168,17995,2021-10-12,14.0,recovery,True,0.044618417880921274,-0.05678707730299071
169,18047,2021-12-27,19.0,relapse,True,0.043361167509110295,-0.05518694046614036
170,18072,2022-02-03,20.0,relapse,True,0.05412534934452034,-0.06888680825666224
171,18100,2022-03-17,99.0,recovery,True,0.06516588483377152,-0.08293839887934555
172,18131,2022-05-06,23.0,recovery,True,0.04332703731204065,-0.05514350203350627
173,18166,2022-06-24,18.0,recovery,True,0.04496025352782328,-0.057222140853593256
174,18237,2022-10-07,102.0,recovery,True,0.05264372347181808,-0.06700110260049573
175,18497,2023-10-27,5.0,recovery,True,0.04887545459366299,-0.06220512402829834
176,18621,2024-05-02,41.0,recovery,True,0.04643666820220005,-0.05910121407552733
177,18690,2024-08-13,,,False,0.14809548441347153,-0.18848516198078194
178,18712,2024-09-12,9.0,recovery,True,0.05932357947972396,-0.07550273751964867
179,18853,2025-04-15,42.0,recovery,True,0.12337482282856793,-0.1570225017818137
180,19076,2026-03-16,20.0,recovery,True,0.0699713863550157,-0.08905449172456541
