sample_id,label,index,episode_id,era,split,event_onset,origin_date,lead,level,mean5,mean20,slope5,slope20,std20,max20,target_x_h1,target_x_h2,target_x_h3,target_x_h4,target_x_h5,target_x_h6,target_x_h7,target_x_h8,target_x_h9,target_x_h10,matched_positive_id,match_distance,control_reused_across_leads
N_P_E014_FTSE_L5_3,0,FTSE,E014,train,train,2015-08-21,2012-03-30,5,-5.4632541233066965,-5.017449310571286,-5.157335393339106,-0.05721854679980621,0.006452721466448979,0.3623469390525155,-4.421299427447374,-4.339146844281998,-5.238737913635802,-4.140461522875931,-4.933019047452272,-4.297990952300435,-4.767513312637668,-4.3211594044429225,-4.944777459202129,-4.9505700377710795,-4.3546283317500025,P_E014_FTSE_L5,0.6017755000849085,False
N_P_E016_FTSE_L5_1,0,FTSE,E016,test,test,2016-01-14,2020-08-03,5,-3.998251145529423,-4.527884492711477,-4.7540795323071965,0.34568471522248106,0.006522494796130756,0.47042355495441207,-3.816403111217272,-4.968790842460252,-4.897476672989026,-4.393904734767338,-5.3152348330539905,-4.957462730943604,-4.184442188878756,-4.265492316393851,-4.698863909091425,-4.220436596202184,-4.860031851892662,P_E016_FTSE_L5,1.4089884499130312,False
N_P_E016_FTSE_L5_2,0,FTSE,E016,test,test,2016-01-14,2021-01-29,5,-4.424390012189441,-4.582230597428442,-4.867515946415888,0.11699680054209328,-0.006804531535780879,0.5390677325604367,-3.8144456035833048,-4.803472138045114,-5.2440378520611,-4.868315223642931,-4.971441597759417,-5.175919003367911,-4.932372294956338,-5.605041170987093,-4.729743477397692,-5.625302424756445,-4.64445635046372,P_E016_FTSE_L5,1.558319967192581,False
N_P_E016_FTSE_L5_3,0,FTSE,E016,test,test,2016-01-14,2021-01-28,5,-4.439325126171775,-4.729193859850492,-4.87289324553385,0.18503977034464253,-0.018595256125429366,0.5349353816885992,-3.8144456035833048,-4.424390012189441,-4.803472138045114,-5.2440378520611,-4.868315223642931,-4.971441597759417,-5.175919003367911,-4.932372294956338,-5.605041170987093,-4.729743477397692,-5.625302424756445,P_E016_FTSE_L5,1.5687677789840346,False
N_P_E018_FTSE_L5_1,0,FTSE,E018,test,test,2020-02-24,2018-07-19,5,-5.699210995501156,-5.304739663650691,-5.1621843198168245,-0.1375209592000136,-0.03160534517352269,0.4375050905350869,-4.286363362055338,-5.148834034020465,-5.408629531856355,-4.935822898999725,-5.212035885290065,-5.674847554222095,-5.467492830907253,-5.39440413917958,-4.996434534508273,-4.700546013931285,-4.8056790775447045,P_E018_FTSE_L5,0.6355862042226038,False
N_P_E018_FTSE_L5_2,0,FTSE,E018,test,test,2020-02-24,2018-07-17,5,-5.3651933335871265,-5.073340040129647,-5.082825336468048,-0.09284697563613466,-0.03058493246334208,0.4332263936463979,-4.286363362055338,-5.359916105853209,-5.699210995501156,-5.148834034020465,-5.408629531856355,-4.935822898999725,-5.212035885290065,-5.674847554222095,-5.467492830907253,-5.39440413917958,-4.996434534508273,P_E018_FTSE_L5,0.8692794833687382,False
N_P_E018_FTSE_L5_3,0,FTSE,E018,test,test,2020-02-24,2018-07-18,5,-5.359916105853209,-5.202240223533827,-5.109103717110662,-0.04278473339164614,-0.030620053444927464,0.4333009493740456,-4.286363362055338,-5.699210995501156,-5.148834034020465,-5.408629531856355,-4.935822898999725,-5.212035885290065,-5.674847554222095,-5.467492830907253,-5.39440413917958,-4.996434534508273,-4.700546013931285,P_E018_FTSE_L5,0.9389311567362248,False
N_P_E003_FTSE_L10_1,0,FTSE,E003,train,train,2008-01-15,2014-11-10,10,-5.50823126728446,-5.134943046283157,-4.809658294032995,-0.12190625506977873,-0.04849730947538378,0.44768109199976697,-3.890121677859452,-6.00326278468973,-5.60726512689755,-5.415923147619148,-5.519957047267931,-5.1310987114878515,-5.572254587368955,-5.6120714426951315,-5.295486098916659,-4.777768506237188,-5.5445449003812834,P_E003_FTSE_L10,0.5026741061872051,False
N_P_E003_FTSE_L10_2,0,FTSE,E003,train,train,2008-01-15,2013-07-23,10,-5.210869799519837,-5.215833564255069,-4.954089385122349,-0.156222339479498,-0.040062013192808985,0.44752286296073823,-3.956974994996685,-4.918765517325415,-4.860277839281231,-4.75122908574007,-5.17027464588153,-5.601190339300467,-4.674094789130437,-4.99782976926565,-5.026350375960696,-4.758071438608079,-5.087278326832972,P_E003_FTSE_L10,0.655353146221803,False
N_P_E003_FTSE_L10_3,0,FTSE,E003,train,train,2008-01-15,2010-12-13,10,-5.355577855611837,-5.308346169766159,-4.85118367044888,-0.1595555991638612,-0.03564089581514283,0.42060727049351876,-4.057359033728258,-5.375939708858047,-5.487684224283263,-5.361406251990709,-5.3457339157660915,-5.269015910062497,-5.681374697273079,-5.134226859580494,-6.197390989923621,-5.770445242925494,-5.386660457248056,P_E003_FTSE_L10,0.7492291060021045,False
N_P_E010_FTSE_L10_1,0,FTSE,E010,train,train,2010-05-04,2010-10-28,10,-5.065810439426543,-5.214088761815448,-5.044150588974723,0.15416560330626022,-0.002342184458271111,0.32081692218583263,-4.546913962366367,-5.160657934672987,-4.924046089330273,-4.682453273600879,-5.360317382463574,-4.813640811809585,-5.016732197491518,-5.429406628014687,-5.083452366903648,-4.876755996705745,-5.25637368378687,P_E010_FTSE_L10,0.49559129453425,False
N_P_E010_FTSE_L10_2,0,FTSE,E010,train,train,2010-05-04,2007-07-13,10,-5.291136726522119,-5.112061021073564,-5.215731953843674,0.08086854037026084,0.0053915031254079425,0.3039469056072941,-4.581907962947554,-5.28485738355018,-5.060058291112352,-4.7848938240342385,-4.788137443601191,-4.762322783914381,-5.594180694673776,-4.464944155230825,-4.713462822852538,-3.858623862671045,-4.439424081044086,P_E010_FTSE_L10,0.6284860177412284,False
N_P_E010_FTSE_L10_3,0,FTSE,E010,train,train,2010-05-04,2007-02-02,10,-5.413196333283855,-5.296171547892167,-5.234725525173522,0.13563974154063552,0.005092512585596687,0.3326162834413879,-4.605450490952983,-5.727838805929755,-5.317728251711688,-5.539413397871545,-5.4620603484939325,-5.377561518423743,-5.620226902477602,-5.926013033305569,-5.522070418947711,-5.636262613631977,-5.81496215422285,P_E010_FTSE_L10,0.7046891770758239,False
N_P_E011_FTSE_L10_1,0,FTSE,E011,train,train,2011-08-01,2015-05-01,10,-5.026445427871917,-4.847407738402034,-5.064324104467065,-0.10759792889442477,0.011279531293012053,0.3460153490616292,-4.449664461224536,-4.529051759683727,-5.23877947400616,-4.527280469881524,-4.277095741319735,-5.301417083301339,-4.399453349901257,-5.119271280241361,-4.817855292190029,-5.079034787611584,-4.930731034561268,P_E011_FTSE_L10,0.46843002949777873,True
N_P_E011_FTSE_L10_2,0,FTSE,E011,train,train,2011-08-01,2011-01-26,10,-5.149739181696221,-4.934041702339174,-5.075940983162221,-0.12749374730273944,0.012196056762671537,0.322101805717348,-4.55954462090388,-5.292832983091831,-4.872012314760616,-4.976044369829403,-4.668457794195486,-5.266858716680279,-5.380673288641007,-5.541541503808083,-5.1446201516151175,-5.133125592067274,-5.763638969801728,P_E011_FTSE_L10,0.583180359792753,False
N_P_E011_FTSE_L10_3,0,FTSE,E011,train,train,2011-08-01,2013-08-09,10,-5.026532039465064,-4.958657958606726,-5.072584685752219,-0.08054720340709852,0.01415341309242292,0.3231881247285139,-4.565578828937528,-5.361121250117906,-5.352815538673919,-5.490438401754702,-4.442948220697237,-5.573798513707031,-5.39773598691528,-5.07276640297671,-5.074924033439743,-4.918532693970676,-4.737614479642005,P_E011_FTSE_L10,0.6342340814589258,False
N_P_E014_FTSE_L10_1,0,FTSE,E014,train,train,2015-08-21,2013-03-26,10,-5.718283703674263,-5.217364294057028,-5.247329708942643,-0.06155264365327946,0.004604967500338386,0.350884834981404,-4.6404500647239155,-4.931168804266562,-5.088581416750277,-4.750577649259512,-4.962622083556531,-4.829465317261009,-4.368792142525826,-5.569250616586305,-5.354475788712973,-4.7457425633582515,-5.444949530776261,P_E014_FTSE_L10,0.4199273740869383,False
N_P_E014_FTSE_L10_2,0,FTSE,E014,train,train,2015-08-21,2007-02-05,10,-5.727838805929755,-5.318111833267966,-5.262752060655158,-0.047283459414461854,-0.0008874771346751651,0.34980777520748974,-4.605450490952983,-5.317728251711688,-5.539413397871545,-5.4620603484939325,-5.377561518423743,-5.620226902477602,-5.926013033305569,-5.522070418947711,-5.636262613631977,-5.81496215422285,-5.816859710541422,P_E014_FTSE_L10,0.4473117952282862,False
