model,event,split,n,event_rate,called_rate,precision,recall,f1,average_precision,threshold,n_qubits,features,effective_rank,val_best_f1,roc_auc,elapsed_feature_seconds
HAR_plus_QRC_ring_8q,q80,val,600,0.08333333333333333,0.225,0.2074074074074074,0.56,0.3027027027027027,0.30917932884462773,0.11142665987097143,8,24,16.09762148823631,0.3027027027027027,0.769490909090909,22.427234888076782
HAR_plus_QRC_ring_8q,q80,test,800,0.36375,0.2275,0.6098901098901099,0.38144329896907214,0.4693446088794926,0.6233652296429915,0.11142665987097143,8,24,16.09762148823631,0.3027027027027027,0.7272395843882284,22.427234888076782
HAR_plus_QRC_ring_8q,q90,train,1800,0.1,0.014444444444444444,0.6153846153846154,0.08888888888888889,0.1553398058252427,0.5282761251316597,0.9884783741211436,8,24,16.09762148823631,0.16666666666666666,0.9223319615912209,22.427234888076782
HAR_plus_QRC_ring_8q,q90,val,600,0.035,0.005,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.12831149620786242,0.9884783741211436,8,24,16.09762148823631,0.16666666666666666,0.6618142939386462,22.427234888076782
HAR_plus_QRC_ring_8q,q90,test,800,0.26625,0.05125,0.7560975609756098,0.14553990610328638,0.2440944881889764,0.5420707564196219,0.9884783741211436,8,24,16.09762148823631,0.16666666666666666,0.7284033559677199,22.427234888076782
HAR_plus_QRC_ring_8q,q95,train,1800,0.05,0.01611111111111111,0.3793103448275862,0.12222222222222222,0.18487394957983194,0.33165055316683606,0.9760941928014053,8,24,16.09762148823631,0.13333333333333333,0.9179532163742689,22.427234888076782
HAR_plus_QRC_ring_8q,q95,val,600,0.023333333333333334,0.0016666666666666668,1.0,0.07142857142857142,0.13333333333333333,0.09850400109070896,0.9760941928014053,8,24,16.09762148823631,0.13333333333333333,0.5813018039980498,22.427234888076782
HAR_plus_QRC_ring_8q,q95,test,800,0.13,0.0425,0.6470588235294118,0.21153846153846154,0.3188405797101449,0.4226212039787277,0.9760941928014053,8,24,16.09762148823631,0.13333333333333333,0.7193164235190097,22.427234888076782
QRC_ring_10q,q80,train,1800,0.2,0.006111111111111111,1.0,0.030555555555555555,0.05929919137466307,0.6067475090656471,0.9988300669661281,10,20,13.928538487827067,0.30188679245283023,0.8803086419753086,97.28025603294373
QRC_ring_10q,q80,val,600,0.08333333333333333,0.09333333333333334,0.2857142857142857,0.32,0.3018867924528302,0.23271807399489386,0.9988300669661281,10,20,13.928538487827067,0.30188679245283023,0.7432363636363637,97.28025603294373
