run_tag,scalar,lookback,delta_min,delta_max,model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,train,5436,q90_warning,,,,,0.6158088235294118,0.6158088235294118,0.6158088235294118,0.1000735835172921,0.7071413394630677,0.9387760930210188
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,train,5436,q95_crisis,,,,,0.5772058823529411,0.5772058823529411,0.5772058823529411,0.050036791758646,0.6510458891965902,0.9628358944274844
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,val,1164,regression,0.0533110788815484,0.5301587821974485,0.0611704585281584,0.0441888511681737,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,val,1164,q90_warning,,,,,0.125,0.0625,0.0833333333333333,0.0137457044673539,0.0758711007792891,0.668258613074205
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0025773195876288,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,test,1166,regression,0.0965518885640646,0.6164846363908248,0.1215041200648765,0.0876671956820092,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,test,1166,q90_warning,,,,,0.4876543209876543,0.6076923076923076,0.541095890410959,0.1389365351629502,0.5451943981949203,0.8798930798930799
scalar-rv_accel_log_5_20__lb-10__delta-0p55-1p25,rv_accel_log_5_20,10,0.55,1.25,raw_plus_rydberg_temporal,test,1166,q95_crisis,,,,,0.4444444444444444,0.4705882352941176,0.4571428571428571,0.04631217838765,0.5380919013630785,0.8185702980743867
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,train,5429,regression,0.0609667077565228,0.7899746046380782,0.0992511268483232,0.074713488867998,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,train,5429,q90_warning,,,,,0.6040515653775322,0.6040515653775322,0.6040515653775322,0.1000184195984527,0.6644328124491512,0.9132923095942932
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,train,5429,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.0501013077914901,0.6164070119190418,0.918731963407818
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,val,1163,regression,0.0536786944083775,0.5303954384299505,0.0613204862386084,0.0445409475959365,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,val,1163,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163370593293207,0.0828398521369542,0.7423740053050398
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0085984522785898,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,test,1164,regression,0.0970798996818297,0.6094008928922269,0.1215856547648024,0.0854319137657516,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,test,1164,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1460481099656357,0.5290705175862221,0.8380970093736052
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_last_baseline,test,1164,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0584192439862542,0.5690479189602731,0.7472825608230713
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,train,5429,regression,0.0913642204669807,0.3949845917950186,0.0992511268483232,0.0334161635519927,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,train,5429,q90_warning,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1000184195984527,0.3160336162888644,0.8054851347368247
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,train,5429,q95_crisis,,,,,0.2867647058823529,0.2867647058823529,0.2867647058823529,0.0501013077914901,0.2469907136029689,0.8867202203743626
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,val,1163,regression,0.0689178068601337,0.2175404463687676,0.0613204862386084,0.0273207837947371,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,val,1163,q90_warning,,,,,0.0272727272727272,0.09375,0.0422535211267605,0.0945829750644883,0.0344009824936754,0.5676945181255526
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0343938091143594,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,test,1164,regression,0.1194349754166988,0.2049225467210429,0.1215856547648024,0.0304000084414638,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,test,1164,q90_warning,,,,,0.2666666666666666,0.3384615384615385,0.2983050847457627,0.1417525773195876,0.2908082404802111,0.6717824728463027
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,rydberg_temporal_features,test,1164,q95_crisis,,,,,0.0204081632653061,0.0196078431372549,0.02,0.0420962199312714,0.0357078851100564,0.4011239716012191
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,train,5429,regression,0.0592718913849303,0.8032262136738753,0.0992511268483232,0.0754990456552674,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,train,5429,q90_warning,,,,,0.6169429097605893,0.6169429097605893,0.6169429097605893,0.1000184195984527,0.7129775571345652,0.9554045873917962
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,train,5429,q95_crisis,,,,,0.5955882352941176,0.5955882352941176,0.5955882352941176,0.0501013077914901,0.670736346024618,0.9729764797134676
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,val,1163,regression,0.0541332702699853,0.5099999913340404,0.0613204862386084,0.0433267831523615,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,val,1163,q90_warning,,,,,0.2142857142857142,0.1875,0.2,0.0240756663800515,0.1048753429582671,0.6702309902740937
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0034393809114359,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,test,1164,regression,0.0975277783199714,0.6053511216638299,0.1215856547648024,0.0852409420688289,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,test,1164,q90_warning,,,,,0.4351145038167939,0.4384615384615384,0.4367816091954023,0.1125429553264604,0.502547367752027,0.8466225264097605
scalar-rv_accel_log_5_20__lb-20__delta-0p25-1p0,rv_accel_log_5_20,20,0.25,1.0,raw_plus_rydberg_temporal,test,1164,q95_crisis,,,,,0.16,0.0784313725490196,0.1052631578947368,0.0214776632302405,0.0916506773591132,0.5586737839790004
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,train,5429,regression,0.0609667077565228,0.7899746046380782,0.0992511268483232,0.074713488867998,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,train,5429,q90_warning,,,,,0.6040515653775322,0.6040515653775322,0.6040515653775322,0.1000184195984527,0.6644328124491512,0.9132923095942932
