episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon
35,12273,12273,12288,1998-10-12,1998-10-12,1998-11-02,11,16,0.27724399586704557,0.13106070962861097,-0.15929216602261953,0.8848263928260567,-0.09953826753359013,0.009213338619066036,-0.06338635447042762,recovery,0.18409154851126663,-0.0029167133892609165,0.11045665187549308,True,40
36,12533,12533,12536,1999-10-22,1999-10-22,1999-10-27,4,4,0.20763659566026837,0.13326981144425964,-0.08255684634978988,0.944202957099677,-0.08264070918053812,0.0425632800475384,-0.06862563052830506,recovery,0.08945564416108343,-0.015165359247206966,0.08272439982598345,True,40
37,12659,12659,12672,2000-04-24,2000-04-24,2000-05-11,2,14,0.30031804566649506,0.13412840622122882,-0.06389691257506624,1.0546051873082203,-0.16044810514576174,0.052624400326898524,-0.11135398837586674,mixed,0.0322339014256563,-0.039164673865763944,0.11964957335999593,True,40
38,12785,12785,12795,2000-10-20,2000-10-20,2000-11-03,9,11,0.2506084222936318,0.13509125853305914,-0.08143240873362556,1.1197070117070524,-0.04873679911269102,0.016427065623085824,-0.07704292104001809,mixed,-0.05310936168885261,-0.06069024649563326,0.09984478535516798,True,40
39,12805,12805,12812,2000-11-17,2000-11-17,2000-11-29,3,8,0.20065611827312616,0.13526224760854905,-0.1006398382809387,1.0320591389611384,-0.008263493935655425,0.0012729930134440792,-0.05816720266329334,relapse,-0.0144400903862264,-0.07529317599699115,0.07994331106600873,True,40
40,12832,12832,12847,2000-12-28,2000-12-28,2001-01-22,9,16,0.2650126420416781,0.13547990910326574,-0.1226681526018153,0.7659194955366813,-0.10774502204055023,0.05348026974293152,-0.07261077986281972,mixed,-0.057172003846319264,-0.066225950211941,0.10558356386783613,True,40
41,12877,12877,12895,2001-03-06,2001-03-06,2001-03-30,7,19,0.17263732846435192,0.13575786572040827,-0.15563904885270385,0.7952622696853332,-0.05629720249868081,-0.0032964370062700254,-0.06280076236193821,relapse,0.010870955776044022,-0.1200750063527577,0.06878035800655076,True,40
42,12904,12904,12916,2001-04-12,2001-04-12,2001-05-01,10,13,0.3208478390044139,0.1359685255660319,-0.1736431280630727,0.8324304277006633,-0.14280266117020324,0.027462867886991482,-0.06956810317590634,mixed,0.05989861820738285,-0.0032276690232889704,0.12782883880706367,True,40
43,13016,13016,13030,2001-09-27,2001-09-27,2001-10-17,15,15,0.3150944795584909,0.13701854670985356,-0.22411125625691386,1.024027745028638,-0.11948165012750206,0.03401971272050375,-0.12330381452549943,recovery,0.12932327619317885,0.019575758890367112,0.1255366455372132,True,40
44,13205,13205,13205,2002-06-28,2002-06-28,2002-06-28,1,1,0.21663496645139824,0.13852098412793074,-0.15420966231828548,0.808132594439028,-0.10509893082997829,0.0006872222733083078,-0.060616184307047405,relapse,-0.04230061506876859,-0.1940958898543036,0.08630943656163591,True,40
