series,period,n,peak_period_days,peak_power,peak_surrogate_p
state__vol_level_x_acceleration_grid__is_2,2005_2014,2517,68.26666666666667,2.472548480763401,0.9780439121756487
state__vol_level_x_acceleration_grid__is_2,2015_2019,1258,28.444444444444443,2.5874437391488523,0.6287425149700598
state__vol_level_x_acceleration_grid__is_2,2020_2024,1058,22.26086956521739,1.4075384307730132,0.6686626746506986
state__vol_level_x_acceleration_grid__is_2,full,7775,146.28571428571428,1.5662760637447115,0.998003992015968
state__vol_level_x_acceleration_grid__is_3,1993_2004,2942,48.76190476190476,2.6176708821563572,0.2754491017964072
state__vol_level_x_acceleration_grid__is_3,2005_2014,2517,68.26666666666667,2.801129390798719,0.7085828343313373
state__vol_level_x_acceleration_grid__is_3,2015_2019,1258,85.33333333333333,1.909358597370561,0.8063872255489022
state__vol_level_x_acceleration_grid__is_3,2020_2024,1058,42.666666666666664,2.6938767578618363,0.29141716566866266
state__vol_level_x_acceleration_grid__is_3,full,7775,40.96,2.280396234547104,0.0718562874251497
state__vol_level_x_acceleration_grid__is_4,1993_2004,2942,256.0,3.0723733030517026,0.25149700598802394
state__vol_level_x_acceleration_grid__is_4,2005_2014,2517,204.8,3.3587871564649423,0.043912175648702596
state__vol_level_x_acceleration_grid__is_4,2015_2019,1258,102.4,0.4485868801030861,0.9720558882235529
state__vol_level_x_acceleration_grid__is_4,2020_2024,1058,73.14285714285714,2.2168815625013703,0.6946107784431138
state__vol_level_x_acceleration_grid__is_4,full,7775,256.0,2.456229284843425,0.021956087824351298
state__vol_level_x_acceleration_grid__is_5,1993_2004,2942,46.54545454545455,2.6810178011203813,0.1277445109780439
state__vol_level_x_acceleration_grid__is_5,2005_2014,2517,35.310344827586206,2.4774891505527203,0.500998003992016
state__vol_level_x_acceleration_grid__is_5,2015_2019,1258,102.4,1.267874226923831,0.22554890219560877
state__vol_level_x_acceleration_grid__is_5,2020_2024,1058,24.38095238095238,1.9717854050786812,0.6427145708582834
state__vol_level_x_acceleration_grid__is_5,full,7775,35.310344827586206,1.3683402399168862,0.812375249500998
state__vol_level_x_acceleration_grid__is_6,1993_2004,2942,53.89473684210526,3.5305573434351087,0.4630738522954092
state__vol_level_x_acceleration_grid__is_6,2005_2014,2517,40.96,3.851436942701978,0.08383233532934131
state__vol_level_x_acceleration_grid__is_6,2015_2019,1258,102.4,2.0881900625376826,0.5029940119760479
state__vol_level_x_acceleration_grid__is_6,2020_2024,1058,85.33333333333333,2.504349245212399,0.9660678642714571
state__vol_level_x_acceleration_grid__is_6,full,7775,512.0,2.8353350935995203,0.38922155688622756
state__vol_level_x_acceleration_grid__is_7,1993_2004,2942,341.3333333333333,2.8480217944777255,0.9041916167664671
state__vol_level_x_acceleration_grid__is_7,2005_2014,2517,341.3333333333333,5.90671798180898,0.10578842315369262
state__vol_level_x_acceleration_grid__is_7,2015_2019,1258,102.4,2.787787085612695,0.20958083832335328
state__vol_level_x_acceleration_grid__is_7,2020_2024,1058,256.0,2.444025241444823,0.8003992015968064
state__vol_level_x_acceleration_grid__is_7,full,7775,512.0,3.278364485996351,0.281437125748503
state__vol_level_x_acceleration_grid__is_8,1993_2004,2942,204.8,2.2441068055219544,0.8622754491017964
state__vol_level_x_acceleration_grid__is_8,2005_2014,2517,40.96,3.663398990253769,0.1936127744510978
state__vol_level_x_acceleration_grid__is_8,2015_2019,1258,30.11764705882353,1.1298584338019149,0.626746506986028
state__vol_level_x_acceleration_grid__is_8,2020_2024,1058,32.0,1.6218741767836933,0.9500998003992016
state__vol_level_x_acceleration_grid__is_8,full,7775,512.0,1.8897055983731696,0.7984031936127745
